system,replicate,frame,time_us,DNA_Rg_nm,DNA_Ree_nm,DNA_asphericity
D1,work,1001,1.0010000000000001,17.253290210491503,56.610421561201775,0.8866483228610677
D1,work,1101,1.101,17.69657150264921,54.46087469330886,0.8579734166839459
D1,work,1201,1.201,17.875613822160258,59.31339706391058,0.9098333226361431
D1,work,1301,1.301,18.41000989716913,61.48546061174168,0.965287887193796
D1,work,1401,1.401,18.227806243781565,57.96448471426666,0.870368005015171
D1,work,1501,1.5010000000000001,14.205586944882956,45.576471437094554,0.5604301457844957
D1,work,1601,1.601,17.03896594014058,53.24589859218417,0.813975451473617
D1,work,1701,1.701,17.330611150210764,53.99064080276403,0.8580624684031387
D1,work,1801,1.801,17.96321955919409,58.13923484232513,0.9548164064812281
D1,work,1901,1.901,17.40233004500494,55.52514454565265,0.8900679246410811
D1,work,2001,2.001,16.81123392053694,54.530450486544304,0.865379073205198
D1,work,2101,2.101,17.469808845145426,57.41071857016297,0.9036527160041489
D1,work,2201,2.201,18.235119603173633,57.87042994277278,0.8699698598723591
D1,work,2301,2.301,18.16784818386166,57.52916251448041,0.9225735052670717
D1,work,2401,2.4010000000000002,18.050937051670278,61.621511737729875,0.9610656854828946
D1,work,2501,2.501,16.819288596994607,52.47767881174936,0.7704374449113222
D1,work,2601,2.601,16.966951917816704,52.10291908063182,0.7001099478508035
D1,work,2701,2.701,16.770692148136508,55.66122569301026,0.8605510753654575
D1,work,2801,2.801,18.17955691158609,57.013564615625725,0.8531076530378756
D1,work,2901,2.9010000000000002,17.771102035017684,57.673324940798445,0.8764371949912846
D1,work,3001,3.001,14.655042367201956,45.3570485911827,0.5033053888092124
D1,work,3101,3.101,17.843994556867173,58.82274922437211,0.9230149060803639
D1,work,3201,3.201,15.972320451872218,42.177912703231065,0.6348957201535537
D1,work,3301,3.301,16.47705965297299,48.437367709477755,0.6674675586204536
D1,work,3401,3.4010000000000002,17.63651013007204,57.173450703340826,0.8790246030413883
D1,work,3501,3.501,16.98792479635285,48.49543215341062,0.8431690461493615
D1,work,3601,3.601,16.090451649240993,46.870667693315525,0.7005431716627163
D1,work,3701,3.701,15.579959123375701,50.791396126095236,0.7547467413070978
D1,work,3801,3.801,15.187922488263013,37.649111803151314,0.7178286227469415
D1,work,3901,3.9010000000000002,16.84624240412285,44.15380151922691,0.7017935086104896
D1,work,4001,4.001,17.54516101353044,53.559499027820976,0.8417627733516796
D1,work,4101,4.101,12.951096589761951,23.953756031325543,0.3125668483791003
D1,work,4201,4.2010000000000005,17.592084566981054,58.238803109644806,0.871210347704021
D1,work,4301,4.301,17.038435905822478,52.83135331365811,0.8351935872588231
D1,work,4401,4.401,19.002152714189048,63.516986696565006,0.9739891211046093
D1,work,4501,4.501,18.489898226227194,57.88343111716734,0.9000373576460822
D1,work,4601,4.601,15.774017384028358,46.07012110874057,0.5826151785475255
