system,cutoff_nm,largest_cluster_size_mean,largest_cluster_fraction_mean,largest_cluster_residue_fraction_mean,second_cluster_size_mean,second_cluster_fraction_mean,finite_cluster_mean_size_mean,N_clusters_size_ge_2_mean,monomer_fraction_mean,largest_cluster_size_sd,largest_cluster_fraction_sd,largest_cluster_residue_fraction_sd,second_cluster_size_sd,second_cluster_fraction_sd,finite_cluster_mean_size_sd,N_clusters_size_ge_2_sd,monomer_fraction_sd,largest_cluster_size_n,largest_cluster_fraction_n,largest_cluster_residue_fraction_n,second_cluster_size_n,second_cluster_fraction_n,finite_cluster_mean_size_n,N_clusters_size_ge_2_n,monomer_fraction_n
M0O100,1.0,8.116666666666665,0.08116666666666666,0.08116666666666666,5.875,0.058750000000000004,2.4238027849893165,21.849999999999998,0.3433333333333333,0.07216878364870348,0.0007216878364870348,0.0007216878364870348,0.20463381929681118,0.0020463381929681076,0.05905506802096646,0.4924428900898053,0.01869881903579297,3,3,3,3,3,3,3,3
M0O100,1.2,8.924999999999999,0.08925,0.08925,6.291666666666667,0.06291666666666666,2.5720396575687405,21.641666666666666,0.3235,0.16393596310754968,0.0016393596310755017,0.0016393596310755017,0.1258305739211787,0.001258305739211792,0.059993142050727505,0.4875534158770022,0.018769989344695953,3,3,3,3,3,3,3,3
M0O100,1.4,9.475,0.09475,0.09475,6.641666666666667,0.06641666666666667,2.7296432053286743,21.55,0.3035833333333333,0.5018714974971186,0.005018714974971188,0.005018714974971188,0.06291528696058986,0.0006291528696058945,0.07641720381724544,0.6805328794408084,0.019625132695942044,3,3,3,3,3,3,3,3
M0O100D1,1.0,47.28333333333333,0.47283333333333327,0.47283333333333327,4.875,0.048749999999999995,2.0242570736510395,11.241666666666667,0.2644166666666667,0.7723071496065118,0.0077230714960651314,0.0077230714960651314,0.5425633603552676,0.005425633603552681,0.15705939204312633,0.519815672458356,0.009827681991870367,3,3,3,3,3,3,3,3
M0O100D1,1.2,48.041666666666664,0.48041666666666666,0.48041666666666666,4.8500000000000005,0.04850000000000001,2.041338934494401,11.183333333333332,0.2558333333333333,0.3556098048891998,0.0035560980488919688,0.0035560980488919688,0.34731109973624474,0.003473110997362454,0.1007439409755148,0.436844747402706,0.008464386175815321,3,3,3,3,3,3,3,3
M0O100D1,1.4,48.74166666666667,0.48741666666666666,0.48741666666666666,4.941666666666666,0.049416666666666664,2.090630982410597,11.200000000000001,0.2454166666666667,0.36600318759996087,0.003660031875999614,0.003660031875999614,0.2897556441785617,0.002897556441785618,0.0777296152235906,0.42056509603151837,0.009227449990833532,3,3,3,3,3,3,3,3
M10O90,1.0,14.066666666666668,0.1406666666666667,0.18270898153909976,8.308333333333334,0.08308333333333333,3.021291657615432,17.775000000000002,0.335,0.9421827494352322,0.009421827494352324,0.009712726818715166,0.6276610019216848,0.006276610019216846,0.10729438291964616,0.4918078893226504,0.005220153254455264,3,3,3,3,3,3,3,3
M10O90,1.2,15.741666666666665,0.15741666666666668,0.20281476872018253,8.9,0.08900000000000001,3.2071679253466887,17.258333333333336,0.3193333333333333,0.9802210635021735,0.009802210635021754,0.010959359649100508,0.655267121104058,0.006552671211040582,0.1480975216018424,0.40181878170804014,0.004804511768466512,3,3,3,3,3,3,3,3
M10O90,1.4,17.05,0.1705,0.2165945861854387,9.216666666666667,0.09216666666666666,3.3982350510921098,16.858333333333334,0.30341666666666667,1.3390761740842065,0.013390761740842078,0.0162889549532383,0.6825198409814425,0.006825198409814428,0.15983631450911998,0.5535867893414119,0.0068571738590569135,3,3,3,3,3,3,3,3
M10O90-S2,1.0,10.666666666666666,0.09696969696969693,0.1046919726197884,7.066666666666666,0.0642424242424242,2.7795708656865603,22.46666666666667,0.3183333333333333,0.38269875010683424,0.0034790795464257644,0.0033483660050674835,0.12332207155790631,0.0011211097414355108,0.017824279419679095,0.1808544534517555,0.006429582543248131,3,3,3,3,3,3,3,3
