system,replicate,cutoff_nm,largest_cluster_size,largest_cluster_fraction,largest_cluster_residue_fraction,second_cluster_size,second_cluster_fraction,finite_cluster_mean_size,N_clusters_size_ge_2,monomer_fraction
M0O100,work,1.0,8.075,0.08075,0.08075,5.65,0.05650000000000001,2.3851516484217754,22.0,0.34525
M0O100,work,1.2,9.1,0.091,0.091,6.425,0.06425,2.598407100779982,21.425,0.3245
M0O100,work,1.4,10.05,0.1005,0.1005,6.65,0.0665,2.7721831855510963,21.05,0.3035
M0O100,work-1,1.0,8.075,0.08075,0.08075,6.05,0.0605,2.3944758272288107,21.3,0.361
M0O100,work-1,1.2,8.775,0.08775,0.08775,6.275,0.06275,2.5033785031909086,21.3,0.34175
M0O100,work-1,1.4,9.25,0.0925,0.0925,6.7,0.067,2.641422848517546,21.275,0.32325
M0O100,work-2,1.0,8.2,0.082,0.082,5.925,0.059250000000000004,2.491780879317363,22.25,0.32375
M0O100,work-2,1.2,8.9,0.089,0.089,6.175,0.061750000000000006,2.6143333687353314,22.2,0.30425
M0O100,work-2,1.4,9.125,0.09125,0.09125,6.575,0.06575,2.7753235819173803,22.325,0.284
M0O100D1,work,1.0,47.425,0.47424999999999995,0.47424999999999995,4.6,0.046,1.9624384099140948,11.625,0.25825
M0O100D1,work,1.2,47.875,0.47874999999999995,0.47874999999999995,4.625,0.04625,1.994254158071482,11.55,0.25225
M0O100D1,work,1.4,48.35,0.4835,0.4835,4.75,0.0475,2.0648609820053414,11.525,0.24250000000000002
M0O100D1,work-1,1.0,47.975,0.47975,0.47975,4.525,0.04525,1.9075131216437704,10.65,0.27575
M0O100D1,work-1,1.2,48.45,0.4845,0.4845,4.675,0.04675,1.972758526856077,10.7,0.2655
M0O100D1,work-1,1.4,49.075,0.49074999999999996,0.49074999999999996,4.8,0.048,2.0290591267022857,10.725,0.25575000000000003
M0O100D1,work-2,1.0,46.45,0.46449999999999997,0.46449999999999997,5.5,0.05500000000000001,2.2028196893952536,11.45,0.25925000000000004
M0O100D1,work-2,1.2,47.8,0.47800000000000004,0.47800000000000004,5.25,0.052500000000000005,2.1570041185556432,11.3,0.24975
M0O100D1,work-2,1.4,48.8,0.488,0.488,5.275,0.05275,2.177972838524163,11.35,0.238
M10O90,work,1.0,14.95,0.14950000000000002,0.19331518357187305,8.15,0.0815,2.958054226676798,17.25,0.341
M10O90,work,1.2,16.775,0.16775,0.21517423771001867,8.725,0.08725000000000001,3.1060593665331675,16.8,0.3245
M10O90,work,1.4,18.55,0.1855,0.23539359054138145,8.9,0.089,3.2595611489351617,16.225,0.31124999999999997
M10O90,work-1,1.0,14.175,0.14175,0.18056316116988175,9.0,0.09,3.145175507899146,17.85,0.3325
M10O90,work-1,1.2,15.625,0.15625,0.19898879900435593,9.625,0.09625,3.37716118668815,17.425,0.315
M10O90,work-1,1.4,16.625,0.16625,0.20772246421904167,10.0,0.1,3.573046212673826,17.1,0.3005
M10O90,work-2,1.0,13.075,0.13075,0.17424859987554447,7.775,0.07775,2.960645238270353,18.225,0.3315
M10O90,work-2,1.2,14.825,0.14825,0.194281269446173,8.35,0.08349999999999999,3.138283222818749,17.55,0.3185
M10O90,work-2,1.4,15.975,0.15975,0.20666770379589297,8.75,0.0875,3.362097791667342,17.25,0.2985
M10O90-S2,work,1.0,10.9,0.09909090909090905,0.10821717485998752,7.15,0.06499999999999996,2.7784956427867025,22.35,0.31659090909090903
M10O90-S2,work,1.2,12.575,0.11431818181818179,0.1243746110765401,7.8,0.07090909090909088,3.014217023873001,21.75,0.2975
M10O90-S2,work,1.4,13.525,0.1229545454545454,0.13277380211574358,8.4,0.07636363636363633,3.2744563470353656,21.325,0.2759090909090909
M10O90-S2,work-1,1.0,10.875,0.09886363636363632,0.10430460485376473,6.925,0.06295454545454542,2.797908416985194,22.675,0.3129545454545454
M10O90-S2,work-1,1.2,12.2,0.11090909090909087,0.11727286869943991,7.625,0.06931818181818178,3.03577324029788,22.225,0.2909090909090909
M10O90-S2,work-1,1.4,13.125,0.11931818181818177,0.12659303049159923,8.175,0.07431818181818178,3.2755787297631658,21.625,0.2747727272727273
M10O90-S2,work-2,1.0,10.225,0.09295454545454543,0.10155413814561291,7.125,0.06477272727272723,2.762308537287784,22.375,0.32545454545454544
M10O90-S2,work-2,1.2,11.6,0.10545454545454543,0.11355631611698816,7.475,0.06795454545454542,2.9224444563769656,22.05,0.3052272727272727
M10O90-S2,work-2,1.4,12.175,0.11068181818181815,0.12006533914125699,7.85,0.07136363636363632,3.135935296401195,21.9,0.2818181818181818
M10O90-S4,work,1.0,12.0,0.09230769230769229,0.09397635345364028,8.575,0.06596153846153843,3.2335451055042674,25.15,0.2932692307692307
M10O90-S4,work,1.2,12.9,0.0992307692307692,0.101066168844638,9.025,0.06942307692307689,3.399974213130895,24.975,0.27692307692307694
M10O90-S4,work,1.4,13.95,0.10730769230769228,0.10893123833229615,9.675,0.0744230769230769,3.6842426037606053,24.475,0.25826923076923075
M10O90-S4,work-1,1.0,12.9,0.0992307692307692,0.10067672682016174,8.425,0.06480769230769227,3.2353260689564536,24.65,0.29173076923076924
M10O90-S4,work-1,1.2,14.1,0.10846153846153843,0.10999325866002899,8.975,0.0690384615384615,3.489834414887734,24.05,0.2765384615384615
M10O90-S4,work-1,1.4,15.275,0.11749999999999998,0.11919518772038991,9.4,0.07230769230769228,3.701359559710261,23.575,0.2592307692307692
M10O90-S4,work-2,1.0,12.4,0.09538461538461536,0.09705973864343492,8.85,0.06807692307692305,3.196926247135289,24.625,0.30769230769230765
M10O90-S4,work-2,1.2,13.4,0.10307692307692304,0.10465878448454673,9.275,0.07134615384615381,3.4026783514957644,24.4,0.2875
M10O90-S4,work-2,1.4,15.2,0.11692307692307688,0.11864862061812897,10.025,0.0771153846153846,3.652455024836855,23.775,0.2694230769230769
M10O90D1,work,1.0,49.825,0.49824999999999997,0.5347837585563161,5.4,0.054000000000000006,2.1811685520097313,9.75,0.26375000000000004
M10O90D1,work,1.2,51.8,0.518,0.5577629122588674,5.05,0.0505,2.1009535523015934,9.475,0.2535
M10O90D1,work,1.4,53.125,0.53125,0.5727224642190417,5.25,0.052500000000000005,2.1609756870041226,9.1,0.2455
M10O90D1,work-1,1.0,48.7,0.487,0.510553827006845,5.625,0.05625,2.2660986339357954,9.825,0.26175000000000004
M10O90D1,work-1,1.2,49.425,0.49424999999999997,0.5166008089607965,5.775,0.05775,2.3357675596366567,9.825,0.2515
M10O90D1,work-1,1.4,50.8,0.508,0.5319337274424394,5.65,0.05650000000000001,2.3230139486410346,9.575,0.24375
M10O90D1,work-2,1.0,47.725,0.47725,0.4868108276291226,6.175,0.061750000000000006,2.3425829816921384,9.825,0.26549999999999996
M10O90D1,work-2,1.2,48.625,0.48624999999999996,0.49479775980087115,6.4,0.064,2.4552445090925286,9.5,0.257
M10O90D1,work-2,1.4,49.725,0.49725,0.5074439950217797,6.7,0.067,2.564518607898518,9.175,0.24725000000000003
M10O90D1-S2,work,1.0,46.65,0.424090909090909,0.39754355942750463,5.6,0.05090909090909086,2.3404403664186186,13.525,0.2570454545454545
M10O90D1-S2,work,1.2,47.525,0.4320454545454545,0.4063270068450529,6.15,0.05590909090909087,2.573434853745069,13.35,0.24636363636363634
M10O90D1-S2,work,1.4,48.25,0.4386363636363636,0.4131316116988176,6.425,0.05840909090909087,2.7161008835271274,13.05,0.23681818181818176
M10O90D1-S2,work-1,1.0,47.075,0.4279545454545454,0.4268886123210952,5.65,0.05136363636363631,2.2142727445179884,13.55,0.2638636363636363
M10O90D1-S2,work-1,1.2,48.25,0.4386363636363636,0.4374144368388301,5.85,0.05318181818181813,2.2868316274244473,13.275,0.25340909090909086
M10O90D1-S2,work-1,1.4,49.8,0.45272727272727264,0.45165059116365897,5.95,0.054090909090909044,2.341655273806548,12.875,0.2443181818181818
M10O90D1-S2,work-2,1.0,44.95,0.4086363636363636,0.4042283758556316,5.475,0.04977272727272722,2.281812045100837,14.25,0.2618181818181818
M10O90D1-S2,work-2,1.2,46.2,0.41999999999999993,0.4158291848164281,5.925,0.053863636363636315,2.3842823906768738,14.05,0.2486363636363636
M10O90D1-S2,work-2,1.4,47.45,0.43136363636363634,0.427644679527069,6.35,0.05772727272727268,2.510019227997195,13.725,0.23749999999999996
M10O90D1-S4,work,1.0,52.4,0.40307692307692305,0.4041702966189587,7.075,0.05442307692307687,2.781105502118764,15.775,0.24346153846153845
