system,degree,probability_mean,probability_sd,probability_n
M0O100,0,0.3235,0.018769989344695953,3
M0O100,1,0.36825,0.003881043674065008,3
M0O100,2,0.20133333333333334,0.022916060598046375,3
M0O100,3,0.07575,0.004130677910464581,3
M0O100,4,0.028529975208474195,0.0023815036503713983,3
M0O100,5,0.014372294372294371,0.002861075608979793,3
M0O100,6,0.01074074074074074,0.0012830005981991687,3
M0O100,7,0.01,,1
M0O100D1,0,0.2558333333333333,0.008464386175815321,3
M0O100D1,1,0.20925000000000002,0.013376752221671744,3
M0O100D1,2,0.09725,0.005728219618694805,3
M0O100D1,3,0.04184234234234235,0.005137163243409017,3
M0O100D1,4,0.031026066552382343,0.0042802527259724775,3
M0O100D1,5,0.04287179487179488,0.0010101392617226747,3
M0O100D1,6,0.0645,0.0030720514318611294,3
M0O100D1,7,0.07816666666666668,0.004888336458687492,3
M0O100D1,8,0.07783333333333332,0.0017736497211494,3
M0O100D1,9,0.05448076923076923,0.004495427401412186,3
M0O100D1,10,0.03099911274911275,0.0032656732117989995,3
M0O100D1,11,0.02023882850241546,0.0018804662699931874,3
M0O100D1,12,0.013596866096866098,0.0009959037784050377,3
M0O100D1,13,0.012142857142857143,0.002575393768188563,3
M0O100D1,14,0.01,0.0,3
M0O100D1,15,0.01,,1
M0O100D1,16,0.01,,1
M0O100D1,17,0.01,,1
M10O90,0,0.3193333333333333,0.004804511768466512,3
M10O90,1,0.35158333333333336,0.010381273203867341,3
M10O90,2,0.19025,0.010825317547305473,3
M10O90,3,0.08457264957264958,0.003993761228843478,3
M10O90,4,0.03475925925925926,0.003456110768781947,3
M10O90,5,0.018392325001520403,0.0030051615448063347,3
M10O90,6,0.014122807017543862,0.0007596714068284542,3
M10O90,7,0.010476190476190477,0.0008247860988423223,3
M10O90,8,0.010555555555555556,0.0009622504486493764,3
M10O90,11,0.01,,1
M10O90,12,0.01,,1
M10O90-S2,0,0.29787878787878785,0.007166602600777116,3
M10O90-S2,1,0.3496212121212121,0.006104011235904163,3
M10O90-S2,2,0.22227272727272726,0.0046963587090390595,3
M10O90-S2,3,0.08818181818181814,0.005736104301874529,3
M10O90-S2,4,0.03399903399903393,0.0029472338051748695,3
M10O90-S2,5,0.014178012004098876,0.0013400816049219477,3
M10O90-S2,6,0.010353535353535264,0.0011572160845848092,3
M10O90-S2,7,0.009090909090909,0.0,2
M10O90-S2,8,0.009090909090909,0.0,2
M10O90-S4,0,0.2803205128205128,0.0062205915610041695,3
M10O90-S4,1,0.2775,0.012473344360139634,3
M10O90-S4,2,0.22846153846153847,0.002903782475104128,3
M10O90-S4,3,0.12807692307692306,0.009758549581819447,3
M10O90-S4,4,0.05749999999999996,0.0037831376101742343,3
M10O90-S4,5,0.023604849098270073,0.00319599612020417,3
M10O90-S4,6,0.012468444867825584,0.001504944562894725,3
M10O90-S4,7,0.009188034188034096,0.0013344012817090602,3
M10O90-S4,8,0.0076923076923076,0.0,3
M10O90-S4,9,0.0076923076923076,0.0,2
M10O90D1,0,0.254,0.0027838821814150133,3
M10O90D1,1,0.20850000000000002,0.004023369234857774,3
M10O90D1,2,0.10991666666666666,0.008882332651580511,3
M10O90D1,3,0.050360360360360366,0.004149772401422128,3
M10O90D1,4,0.03403378378378378,0.0023531272417623384,3
M10O90D1,5,0.04583333333333334,0.0017736497211493995,3
M10O90D1,6,0.06475,0.0037500000000000033,3
M10O90D1,7,0.07583333333333334,0.0030855847635956027,3
M10O90D1,8,0.06766666666666667,0.005636562191028608,3
M10O90D1,9,0.041732905982905986,0.004946958690438024,3
M10O90D1,10,0.02784019313431078,0.002114949431868438,3
M10O90D1,11,0.02028183023872679,0.004332755198370098,3
M10O90D1,12,0.013019230769230769,0.0007213461282119645,3
M10O90D1,13,0.012121212121212121,0.0018924236358783021,3
M10O90D1,14,0.011250000000000001,0.0021650635094610966,3
M10O90D1,15,0.010666666666666666,0.0011547005383792518,3
M10O90D1,16,0.01,0.0,2
M10O90D1,17,0.01,0.0,2
M10O90D1,18,0.01,,1
M10O90D1-S2,0,0.24946969696969692,0.0035958922079714476,3
M10O90D1-S2,1,0.23636363636363633,0.007219263715576663,3
M10O90D1-S2,2,0.1223484848484848,0.0019329319427534998,3
M10O90D1-S2,3,0.05081973581973576,0.002268961177446247,3
M10O90D1-S2,4,0.03322884717621553,0.0024846478058242814,3
M10O90D1-S2,5,0.04520202020202015,0.006443106475844993,3
M10O90D1-S2,6,0.06280303030303026,0.005484450847799471,3
M10O90D1-S2,7,0.06555167055167051,0.0016872147406182,3
M10O90D1-S2,8,0.057851592851592804,0.006632575529302123,3
M10O90D1-S2,9,0.04144376249639401,0.006131668518069401,3
M10O90D1-S2,10,0.02495771108211292,0.00638171589328123,3
M10O90D1-S2,11,0.016930053220375718,0.0029306311068447166,3
M10O90D1-S2,12,0.011604136604136518,0.002047185457233275,3
M10O90D1-S2,13,0.010437710437710348,0.002332728360362127,3
M10O90D1-S2,14,0.009090909090909,0.0,3
M10O90D1-S2,15,0.009090909090909,0.0,2
M10O90D1-S4,0,0.23224358974358972,0.009263430465233764,3
M10O90D1-S4,1,0.20102564102564102,0.005912744901333459,3
M10O90D1-S4,2,0.14737179487179483,0.007606087305741662,3
M10O90D1-S4,3,0.07717948717948714,0.010735409345092824,3
M10O90D1-S4,4,0.04467948717948713,0.005814989472398262,3
M10O90D1-S4,5,0.04166666666666661,0.0017868410083033773,3
M10O90D1-S4,6,0.05184089414858641,0.0011625932100328225,3
M10O90D1-S4,7,0.05826923076923073,0.0017625291134445561,3
M10O90D1-S4,8,0.05583333333333329,0.002509842557750244,3
M10O90D1-S4,9,0.04357659434582506,0.0009470708130764906,3
M10O90D1-S4,10,0.025641025641025567,0.004687369805429206,3
M10O90D1-S4,11,0.016843106606037557,0.0018747145851359943,3
M10O90D1-S4,12,0.010995357022343439,0.001656923997562562,3
M10O90D1-S4,13,0.009494301994301903,0.001549157579281323,3
M10O90D1-S4,14,0.0076923076923076,0.0,2
M10O90D1-S4,15,0.0076923076923076,0.0,3
M10O90D1-S4,16,0.0076923076923076,,1
M10O90D1-S4,17,0.0076923076923076,,1
M15O85,0,0.29658333333333337,0.00843109324662781,3
M15O85,1,0.3434166666666667,0.013449752166242099,3
M15O85,2,0.1991666666666667,0.011309104002233492,3
M15O85,3,0.10025,0.0033634060117684306,3
M15O85,4,0.03817172739541161,0.0022332165860269298,3
M15O85,5,0.019139784946236558,0.001615714955109259,3
M15O85,6,0.014386243386243386,0.001488202817980816,3
M15O85,7,0.010416666666666666,0.0007216878364870312,3
M15O85,8,0.01,0.0,3
M15O85,9,0.01,,1
M15O85,10,0.01,,1
M15O85,11,0.01,,1
M20O80,0,0.29241666666666666,0.01324370919845846,3
M20O80,1,0.3293333333333333,0.0025041632002194567,3
M20O80,2,0.20975,0.0062799283435402324,3
M20O80,3,0.09775,0.0054256336035526705,3
M20O80,4,0.04324786324786325,0.0020725394278601965,3
M20O80,5,0.02189753320683112,0.002433378266014213,3
M20O80,6,0.015368191721132898,0.0021575591402333122,3
M20O80,7,0.011445887445887447,0.0005456606495788302,3
M20O80,8,0.011111111111111112,0.0019245008972987529,3
M20O80,9,0.01,,1
M20O80,10,0.01,,1
M20O80D1,0,0.2314166666666667,0.009683534134464211,3
M20O80D1,1,0.22724999999999998,0.0019843134832984435,3
M20O80D1,2,0.1195,0.007206767652699794,3
M20O80D1,3,0.056499999999999995,0.0036314597615834865,3
M20O80D1,4,0.03978418803418803,0.005698794861661659,3
M20O80D1,5,0.04785964912280702,0.00323069413282513,3
M20O80D1,6,0.06583333333333334,0.0016645820296198517,3
M20O80D1,7,0.06741666666666667,0.0063508529610858885,3
M20O80D1,8,0.05758333333333334,0.00525793051811578,3
M20O80D1,9,0.04224246513720198,0.003997611737039971,3
M20O80D1,10,0.02607843137254902,0.0027328156597581097,3
M20O80D1,11,0.0162826420890937,0.0012162610690091534,3
M20O80D1,12,0.013977272727272727,0.0004953294254023492,3
M20O80D1,13,0.01127946127946128,0.0013714082056845995,3
M20O80D1,14,0.010222222222222223,0.0003849001794597503,3
M20O80D1,15,0.010303030303030302,0.0005248638810814775,3
M20O80D1,16,0.01,0.0,3
M20O80D1,17,0.01,0.0,2
M20O80D1,18,0.01,,1
M20O80D1,19,0.01,0.0,2
M25O75,0,0.27758333333333335,0.003625718319634512,3
M25O75,1,0.32416666666666666,0.006751543033509711,3
M25O75,2,0.21175,0.0031917863337009274,3
M25O75,3,0.11083333333333334,0.0056807423223847455,3
M25O75,4,0.04324786324786325,0.00393191424048961,3
M25O75,5,0.021766766766766765,0.002249464407397944,3
M25O75,6,0.0162,0.0011269427669584632,3
M25O75,7,0.012487373737373736,0.0017944846717708935,3
M25O75,8,0.010833333333333334,0.001443375672974064,3
M25O75,9,0.01,0.0,3
M30O70,0,0.2733333333333334,0.01013142800069832,3
M30O70,1,0.3269166666666667,0.008133008873309647,3
M30O70,2,0.21550000000000002,0.004023369234857772,3
M30O70,3,0.10233333333333333,0.00505799696849784,3
M30O70,4,0.049833333333333334,0.0026964482812272404,3
M30O70,5,0.02426581605528974,0.002070876517244047,3
M30O70,6,0.014081996434937613,0.001624061031000799,3
M30O70,7,0.012396825396825397,0.001232895062167073,3
M30O70,8,0.011,0.0014142135623730957,2
M30O70,9,0.01,,1
M30O70,11,0.01,,1
M50O0,0,0.026454106280193235,0.001941235687710048,3
M50O0,1,0.06947008547008547,0.0060515717734497074,3
M50O0,2,0.15216666666666667,0.006429100507328629,3
M50O0,3,0.22933333333333336,0.003818813079129848,3
M50O0,4,0.211,0.005678908345800299,3
M50O0,5,0.15616666666666668,0.005795112883571241,3
M50O0,6,0.09549999999999999,0.002291287847477922,3
M50O0,7,0.05312581931776978,0.004572884056255468,3
M50O0,8,0.029867149758454104,0.0006444116701427127,3
M50O0,9,0.024494949494949497,0.002463383514799436,3
M50O0,10,0.022,0.0028284271247461888,2
M50O0,11,0.02,0.0,3
M50O0,12,0.02,,1
M50O0D1,0,0.027391087344028522,0.0016127907245773285,3
M50O0D1,1,0.05470411588058647,0.002720956951197329,3
M50O0D1,2,0.11166666666666668,0.012392874296680862,3
M50O0D1,3,0.12933333333333333,0.0046188021535170124,3
M50O0D1,4,0.12289743589743592,0.016046591433913397,3
M50O0D1,5,0.10116666666666667,0.007005949852327907,3
M50O0D1,6,0.09461538461538462,0.0025872353936680203,3
M50O0D1,7,0.08816666666666667,0.010692676621563634,3
M50O0D1,8,0.08917948717948719,0.007485917087111532,3
M50O0D1,9,0.07433333333333332,0.009504384952922164,3
M50O0D1,10,0.05621621621621622,0.0032879797461071447,3
M50O0D1,11,0.04398148148148148,0.0007425469876085831,3
M50O0D1,12,0.03494064577397911,0.003624875662455346,3
M50O0D1,13,0.02504201680672269,0.0013126470043540598,3
M50O0D1,14,0.023174603174603178,0.003344651985032616,3
M50O0D1,15,0.022222222222222223,0.0038490017945975057,3
M50O0D1,16,0.02,0.0,2
M50O0D1,17,0.02,,1
M50O50,0,0.2394166666666667,0.00262599187609811,3
M50O50,1,0.3199166666666667,0.0010103629710818437,3
M50O50,2,0.22991666666666666,0.004888336458687472,3
M50O50,3,0.11800000000000001,0.004023369234857774,3
M50O50,4,0.0592948717948718,0.003423094929367798,3
M50O50,5,0.025105105105105108,0.0013523519818856079,3
M50O50,6,0.016610526315789475,0.0011698900201641954,3
M50O50,7,0.012142857142857143,0.0025753937681885636,3
M50O50,8,0.01,0.0,2
M5O95,0,0.31716666666666665,0.004618802153517006,3
M5O95,1,0.35200000000000004,0.0069686799323832194,3
M5O95,2,0.2031666666666667,0.007835549331944339,3
M5O95,3,0.08374999999999999,0.0015612494995996004,3
M5O95,4,0.03046108861898336,0.003961089762044593,3
M5O95,5,0.01619107744107744,0.0016169669973492395,3
M5O95,6,0.01250915750915751,0.002515699607575933,3
M5O95,7,0.011527777777777777,0.001683938285136409,3
M5O95,8,0.01,0.0,3
M5O95,9,0.01,,1
