system,direct_largest_protein_fraction_mean,augmented_largest_protein_fraction_mean,DNA_component_protein_fraction_mean,DNA_component_MED1_mean,DNA_component_OCT4_mean,n_PP_edges_mean,PP_edge_density_mean,OO_contact_probability_mean,MM_contact_probability_mean,OM_contact_probability_mean,OD_contact_probability_mean,MD_contact_probability_mean,OCT4_mean_degree_mean,MED1_mean_degree_mean,DNA_mean_degree_mean,OCT4_fraction_contacting_DNA_mean,MED1_fraction_contacting_DNA_mean,DNA_Rg_nm_mean,DNA_Ree_nm_mean,DNA_asphericity_mean,DNA_fraction_beads_contacting_OCT4_mean,DNA_fraction_beads_contacting_MED1_mean,DNA_fraction_beads_contacting_any_protein_mean,N_OCT4_molecules_contacting_DNA_mean,N_MED1_molecules_contacting_DNA_mean,direct_largest_protein_fraction_sd,augmented_largest_protein_fraction_sd,DNA_component_protein_fraction_sd,DNA_component_MED1_sd,DNA_component_OCT4_sd,n_PP_edges_sd,PP_edge_density_sd,OO_contact_probability_sd,MM_contact_probability_sd,OM_contact_probability_sd,OD_contact_probability_sd,MD_contact_probability_sd,OCT4_mean_degree_sd,MED1_mean_degree_sd,DNA_mean_degree_sd,OCT4_fraction_contacting_DNA_sd,MED1_fraction_contacting_DNA_sd,DNA_Rg_nm_sd,DNA_Ree_nm_sd,DNA_asphericity_sd,DNA_fraction_beads_contacting_OCT4_sd,DNA_fraction_beads_contacting_MED1_sd,DNA_fraction_beads_contacting_any_protein_sd,N_OCT4_molecules_contacting_DNA_sd,N_MED1_molecules_contacting_DNA_sd,direct_largest_protein_fraction_n,augmented_largest_protein_fraction_n,DNA_component_protein_fraction_n,DNA_component_MED1_n,DNA_component_OCT4_n,n_PP_edges_n,PP_edge_density_n,OO_contact_probability_n,MM_contact_probability_n,OM_contact_probability_n,OD_contact_probability_n,MD_contact_probability_n,OCT4_mean_degree_n,MED1_mean_degree_n,DNA_mean_degree_n,OCT4_fraction_contacting_DNA_n,MED1_fraction_contacting_DNA_n,DNA_Rg_nm_n,DNA_Ree_nm_n,DNA_asphericity_n,DNA_fraction_beads_contacting_OCT4_n,DNA_fraction_beads_contacting_MED1_n,DNA_fraction_beads_contacting_any_protein_n,N_OCT4_molecules_contacting_DNA_n,N_MED1_molecules_contacting_DNA_n
M0O100,0.08925,0.08925,,,,56.625,0.011439393939393907,0.011439393939393907,,,,,1.1325,,,0.0,,,,,,,,,,0.0016393596310755017,0.0016393596310755017,,,,1.3332291625973376,0.0002693392247671395,0.0002693392247671395,,,,,0.02666458325194682,,,0.0,,,,,,,,,,3,3,0,0,0,3,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
M0O100D1,0.48041666666666666,0.48041666666666666,0.48041666666666666,0.0,48.041666666666664,153.39166666666668,0.030988215488215443,0.030988215488215443,,,0.37274999999999997,,3.440583333333333,,37.275,0.37274999999999997,,17.775197506209867,56.80095120795227,0.8626237480991416,0.9993124999999999,0.0,0.9993124999999999,37.275,0.0,0.0035560980488919688,0.0035560980488919688,0.0035560980488919688,0.0,0.3556098048891998,4.301550108197429,0.0008690000218580753,0.0008690000218580753,,,0.005973901572674258,,0.09170343959379802,,0.5973901572674243,0.005973901572674258,,0.12631241054759113,0.5736681211766976,0.012563338480535969,0.00022534695471645912,0.0,0.00022534695471645912,0.5973901572674243,0.0,3,3,3,3,3,3,3,3,0,0,3,0,3,0,3,3,0,3,3,3,3,3,3,3,3
M10O90,0.15741666666666668,0.15741666666666668,,,,61.89166666666667,0.012503367003366973,0.008868081564710728,0.055740740740740695,0.02651851851851848,,,1.0544444444444443,2.888333333333333,,0.0,0.0,,,,,,,,,0.009802210635021754,0.009802210635021754,,,,0.6829775496554235,0.0001379752625566527,0.00012205584166511127,0.0028508896885816003,0.0005888190035401706,,,0.010015420209622204,0.07094598884597571,,0.0,0.0,,,,,,,,,3,3,0,0,0,3,3,3,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
M10O90-S2,0.11022727272727269,0.11022727272727269,,,,68.21666666666667,0.011378926883513987,0.009382022471910069,0.020043859649122763,0.014907407407407364,,,1.133148148148148,1.7225,,0.0,0.0,,,,,,,,,0.004470980812024093,0.004470980812024093,,,,0.9776672917374984,0.00016308044899707947,0.0003844403018767225,0.0013945713241740956,0.0005516063336520932,,,0.028067012695441772,0.036827299656640604,,0.0,0.0,,,,,,,,,3,3,0,0,0,3,3,3,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
M10O90-S4,0.10358974358974356,0.10358974358974356,,,,97.49166666666667,0.011626913138540996,0.008992925509779393,0.02006410256410251,0.01272916666666662,,,1.309537037037037,1.9281249999999999,,0.0,0.0,,,,,,,,,0.004636702902570545,0.004636702902570545,,,,2.637983762901755,0.000314607485140343,0.00044858486984110217,0.0010316331371430182,0.0005262679427163152,,,0.05011894288803389,0.06474408756790075,,0.0,0.0,,,,,,,,,3,3,0,0,0,3,3,3,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
M10O90D1,0.4995,0.50125,0.50125,5.95,44.175000000000004,149.09166666666667,0.03011952861952857,0.025967540574282102,0.062037037037036995,0.04699999999999995,0.3492592592592592,0.37999999999999995,3.1303703703703705,5.168333333333334,35.233333333333334,0.3492592592592592,0.37999999999999995,17.66230734189177,56.6679151205067,0.8672911726178373,0.9465416666666666,0.2765416666666667,0.9987916666666666,31.433333333333334,3.8000000000000003,0.016513252253871725,0.01734935157289749,0.01734935157289749,0.7901740314639555,0.9549214627392121,3.98076102439388,0.0008041941463421999,0.00042898930103125386,0.004625924443258085,0.003753496312493353,0.00425220833452034,0.08400148808205721,0.05566678679664717,0.4500092591640012,0.8804591605141764,0.00425220833452034,0.08400148808205721,0.18190813002573478,1.2128314970779575,0.023169522343000695,0.009350036207594762,0.0452470792105229,9.547032697826038e-05,0.38269875010683524,0.8400148808205722,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
M10O90D1-S2,0.4302272727272727,0.4306060606060606,0.4306060606060606,7.516666666666666,39.85,150.75,0.025145954962468672,0.025416146483562167,0.026403508771929773,0.024412037037036993,0.33555555555555555,0.23916666666666667,3.0858333333333334,2.9379166666666667,34.983333333333334,0.33555555555555555,0.23916666666666667,17.146524181894637,53.907730901125525,0.8129831568542553,0.9342708333333333,0.2934791666666667,0.9985208333333334,30.2,4.783333333333334,0.009450283130132651,0.008838347763274142,0.008838347763274142,1.5092078496129457,1.7108112110925608,7.39121099685296,0.0012328959127361,0.0033492883441256856,0.002362321580613197,0.0038105283136077844,0.02484364687648448,0.06661847216300695,0.25313329699860226,0.44472135470801616,1.0903936598005908,0.02484364687648448,0.06661847216300695,0.281191708307893,1.9707991810463086,0.03930606796759859,0.015467497844943506,0.08128291000163154,0.0004066504436655353,2.235928218883603,1.3323694432601394,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
M10O90D1-S4,0.40314102564102566,0.4049358974358974,0.4049358974358974,12.65,39.99166666666667,188.40833333333333,0.022469687934804167,0.025607573866000783,0.022072649572649525,0.019064814814814767,0.34249999999999997,0.13770833333333335,3.3841666666666668,2.7143750000000004,36.333333333333336,0.34249999999999997,0.13770833333333335,17.582234464094643,56.06574033017682,0.8537015808904669,0.9464791666666666,0.28189583333333335,0.9989583333333334,30.825,5.508333333333333,0.008298992358216436,0.006961255129522515,0.006961255129522515,1.621534766818152,1.0351127152795183,4.28881782468471,0.0005114869200578062,0.0015775149362315438,0.0005211003588998804,0.0024768442800161177,0.013796917709097354,0.03233330648624314,0.07125852775477329,0.27058169399462323,0.29190466480227906,0.013796917709097354,0.03233330648624314,0.14979891466130293,0.695236467150899,0.017065831663797118,0.009617962795380951,0.06416072753899643,0.00039692831006785605,1.2417225938187644,1.2933322594497259,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
M15O85,0.16758333333333333,0.16758333333333333,,,,66.02499999999999,0.013338383838383816,0.00856442577030809,0.047142857142857125,0.023921568627450943,,,1.078235294117647,2.6933333333333334,,0.0,0.0,,,,,,,,,0.02101388429903747,0.02101388429903747,,,,1.8580904176061936,0.00037537180153660493,0.00038686911251913916,0.0022712838128974852,0.0002888415659344104,,,0.03514798177473882,0.052201532544552884,,0.0,0.0,,,,,,,,,3,3,0,0,0,3,3,3,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
M20O80,0.19791666666666666,0.19791666666666666,,,,68.47500000000001,0.013833333333333295,0.007573839662447201,0.043947368421052575,0.022619791666666667,,,1.0507291666666667,2.6445833333333333,,0.0,0.0,,,,,,,,,0.010811837648306297,0.010811837648306297,,,,1.6547280743372925,0.00033428849986611526,0.0003877658509006611,0.0022445686985831533,0.0006804204620735131,,,0.02753607955180505,0.07882271774896708,,0.0,0.0,,,,,,,,,3,3,0,0,0,3,3,3,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
