system,replicate,direct_largest_protein_fraction,augmented_largest_protein_fraction,DNA_component_protein_fraction,DNA_component_MED1,DNA_component_OCT4,n_PP_edges,PP_edge_density,OO_contact_probability,MM_contact_probability,OM_contact_probability,OD_contact_probability,MD_contact_probability,OCT4_mean_degree,MED1_mean_degree,DNA_mean_degree,OCT4_fraction_contacting_DNA,MED1_fraction_contacting_DNA,DNA_Rg_nm,DNA_Ree_nm,DNA_asphericity,DNA_fraction_beads_contacting_OCT4,DNA_fraction_beads_contacting_MED1,DNA_fraction_beads_contacting_any_protein,N_OCT4_molecules_contacting_DNA,N_MED1_molecules_contacting_DNA
M0O100,work,0.091,0.091,,,,56.175,0.011348484848484818,0.011348484848484818,,,,,1.1235,,,0.0,,,,,,,,,
M0O100,work-1,0.08775,0.08775,,,,55.575,0.011227272727272693,0.011227272727272693,,,,,1.1115,,,0.0,,,,,,,,,
M0O100,work-2,0.089,0.089,,,,58.125,0.01174242424242421,0.01174242424242421,,,,,1.1625,,,0.0,,,,,,,,,
M0O100D1,work,0.47874999999999995,0.47874999999999995,0.47874999999999995,0.0,47.875,155.825,0.03147979797979794,0.03147979797979794,,,0.374,,3.4905,,37.4,0.374,,17.749421206314704,56.920973171229704,0.8690877382195346,0.9995625,0.0,0.9995625,37.4,0.0
M0O100D1,work-1,0.4845,0.4845,0.4845,0.0,48.45,155.925,0.03149999999999996,0.03149999999999996,,,0.378,,3.4965,,37.8,0.378,,17.912409876770848,57.30511321352817,0.8706389792556223,0.999125,0.0,0.999125,37.8,0.0
M0O100D1,work-2,0.47800000000000004,0.47800000000000004,0.47800000000000004,0.0,47.8,148.425,0.02998484848484843,0.02998484848484843,,,0.36625,,3.3347499999999997,,36.625,0.36625,,17.66376143554405,56.17676723909892,0.8481445268222677,0.99925,0.0,0.99925,36.625,0.0
M10O90,work,0.16775,0.16775,,,,62.65,0.012656565656565626,0.0089013732833957,0.05888888888888884,0.027055555555555517,,,1.0627777777777778,2.965,,0.0,0.0,,,,,,,,
M10O90,work-1,0.15625,0.15625,,,,61.7,0.012464646464646435,0.00897003745318348,0.05499999999999995,0.02588888888888885,,,1.057222222222222,2.825,,0.0,0.0,,,,,,,,
M10O90,work-2,0.14825,0.14825,,,,61.325,0.012388888888888857,0.008732833957553005,0.05333333333333329,0.026611111111111065,,,1.0433333333333334,2.875,,0.0,0.0,,,,,,,,
M10O90-S2,work,0.11431818181818179,0.11431818181818179,,,,68.3,0.011392827356130055,0.009625468164793963,0.021315789473684166,0.014277777777777733,,,1.1422222222222222,1.69,,0.0,0.0,,,,,,,,
M10O90-S2,work-1,0.11090909090909087,0.11090909090909087,,,,69.15,0.011534612176813957,0.009581772784019928,0.018552631578947317,0.015138888888888846,,,1.1555555555555554,1.7149999999999999,,0.0,0.0,,,,,,,,
M10O90-S2,work-2,0.10545454545454543,0.10545454545454543,,,,67.2,0.011209341117597946,0.008938826466916312,0.0202631578947368,0.015305555555555512,,,1.1016666666666666,1.7625,,0.0,0.0,,,,,,,,
M10O90-S4,work,0.0992307692307692,0.0992307692307692,,,,97.55,0.011633870005962974,0.009413233458177237,0.018910256410256357,0.012527777777777731,,,1.338888888888889,1.8649999999999998,,0.0,0.0,,,,,,,,
M10O90-S4,work-1,0.10846153846153843,0.10846153846153843,,,,100.1,0.011937984496123984,0.009044943820224662,0.020384615384615327,0.01332638888888884,,,1.3380555555555556,1.9943749999999998,,0.0,0.0,,,,,,,,
M10O90-S4,work-2,0.10307692307692304,0.10307692307692304,,,,94.825,0.011308884913536026,0.008520599250936279,0.020897435897435847,0.012333333333333288,,,1.2516666666666665,1.925,,0.0,0.0,,,,,,,,
M10O90D1,work,0.518,0.52025,0.52025,6.775,45.25,153.65,0.031040404040403997,0.02625468164794002,0.06722222222222218,0.05052777777777773,0.3508333333333333,0.46749999999999997,3.1927777777777777,5.62,36.25,0.3508333333333333,0.46749999999999997,17.455994591148627,55.49194186681304,0.8467887065650379,0.9369999999999999,0.3158125,0.9988125,31.575,4.675
M10O90D1,work-1,0.49424999999999997,0.49725,0.49725,5.875,43.85,147.325,0.029762626262626213,0.025474406991260874,0.05833333333333328,0.047416666666666614,0.34444444444444444,0.3725,3.0858333333333334,5.165,34.725,0.34444444444444444,0.3725,17.79962296828058,57.91451803947833,0.8924274125276135,0.9469375,0.28675,0.998875,31.0,3.725
M10O90D1,work-2,0.48624999999999996,0.48624999999999996,0.48624999999999996,5.2,43.425,146.3,0.0295555555555555,0.026173533083645405,0.06055555555555551,0.04305555555555551,0.3524999999999999,0.3,3.1125,4.720000000000001,34.725,0.3524999999999999,0.3,17.731304466246097,56.5972854552287,0.8626573987608607,0.9556875,0.2270625,0.9986875,31.725,3.0
M10O90D1-S2,work,0.4320454545454545,0.4320454545454545,0.4320454545454545,5.825,41.7,157.65,0.026296914095079178,0.0291822721598002,0.024605263157894686,0.02005555555555551,0.3638888888888889,0.16375,3.362222222222222,2.4362500000000002,36.025,0.3638888888888889,0.16375,17.311628730157295,55.54827899671953,0.841005233176442,0.952125,0.2009375,0.9984999999999999,32.75,3.275
M10O90D1-S2,work-1,0.4386363636363636,0.4386363636363636,0.4386363636363636,8.725,39.525,151.65,0.025296080066722217,0.024294631710362006,0.029078947368421,0.027124999999999955,0.3252777777777777,0.29,3.0300000000000002,3.28375,35.075,0.3252777777777777,0.29,16.821847677401394,51.721623455162785,0.768052231759044,0.9249375000000001,0.35331250000000003,0.9989375,29.275,5.8
M10O90D1-S2,work-2,0.41999999999999993,0.4211363636363636,0.4211363636363636,8.0,38.325,142.95,0.023844870725604626,0.022771535580524298,0.025526315789473637,0.026055555555555505,0.3175,0.26375000000000004,2.865277777777778,3.09375,33.85,0.3175,0.26375000000000004,17.30609613812522,54.45329025149425,0.8298920056272798,0.9257500000000001,0.32618749999999996,0.9981249999999999,28.575,5.275
M10O90D1-S4,work,0.41269230769230764,0.41269230769230764,0.41269230769230764,13.825,39.825,193.15,0.023035181872391123,0.025205992509363246,0.02266025641025636,0.02070138888888885,0.3361111111111111,0.16,3.4075,2.9068750000000003,36.65,0.3361111111111111,0.16,17.742367901293676,56.86738769795562,0.8732560440912666,0.9394375,0.3319375,0.9984999999999999,30.25,6.4
M10O90D1-S4,work-1,0.39903846153846156,0.40288461538461534,0.40288461538461534,13.325,39.05,187.275,0.022334525939177056,0.024269662921348266,0.021891025641025595,0.020277777777777724,0.33305555555555555,0.1525,3.3041666666666663,2.83125,36.075,0.33305555555555555,0.1525,17.445531391871135,55.70199586629623,0.8460361819239391,0.9425625,0.3041875,0.9991875,29.975,6.1
M10O90D1-S4,work-2,0.3976923076923077,0.3992307692307692,0.3992307692307692,10.8,41.1,184.8,0.022039355992844317,0.027347066167290844,0.021666666666666615,0.01621527777777773,0.3583333333333333,0.100625,3.440833333333333,2.4050000000000002,36.275,0.3583333333333333,0.100625,17.558804099119115,55.62783742627863,0.8418125166561948,0.9574374999999999,0.2095625,0.9991875,32.25,4.025
M15O85,work,0.14975,0.14975,,,,64.275,0.01298484848484845,0.008158263305322077,0.04499999999999997,0.02386274509803916,,,1.043235294117647,2.658333333333333,,0.0,0.0,,,,,,,,
M15O85,work-1,0.16225,0.16225,,,,65.825,0.013297979797979798,0.008606442577030813,0.04690476190476191,0.023666666666666666,,,1.0779411764705882,2.6683333333333334,,0.0,0.0,,,,,,,,
M15O85,work-2,0.19075,0.19075,,,,67.975,0.013732323232323197,0.00892857142857138,0.04952380952380949,0.024235294117647,,,1.1135294117647059,2.7533333333333334,,0.0,0.0,,,,,,,,
M20O80,work,0.20800000000000002,0.20800000000000002,,,,68.2,0.01377777777777774,0.007191455696202475,0.043289473684210475,0.02328125,,,1.03375,2.685,,0.0,0.0,,,,,,,,
