replicate,system,frame,time_us,cutoff_nm,largest_cluster_size,largest_cluster_fraction,largest_cluster_residue_fraction,second_cluster_size,second_cluster_fraction,finite_cluster_mean_size,N_clusters_size_ge_2,monomer_fraction
work,M0O100,1001,1.001,1.0,8,0.08,0.08,7,0.07,2.630434782608696,24,0.28
work,M0O100,1001,1.001,1.2,8,0.08,0.08,7,0.07,2.630434782608696,24,0.28
work,M0O100,1001,1.001,1.4,8,0.08,0.08,7,0.07,2.652173913043478,25,0.26
work,M0O100,1101,1.101,1.0,6,0.06,0.06,5,0.05,2.3404255319148937,30,0.22
work,M0O100,1101,1.101,1.2,9,0.09,0.09,6,0.06,2.4505494505494507,29,0.21
work,M0O100,1101,1.101,1.4,9,0.09,0.09,6,0.06,2.4945054945054945,29,0.2
work,M0O100,1201,1.201,1.0,5,0.05,0.05,5,0.05,2.389473684210526,21,0.37
work,M0O100,1201,1.201,1.2,7,0.07,0.07,6,0.06,2.505376344086021,20,0.36
work,M0O100,1201,1.201,1.4,9,0.09,0.09,7,0.07,3.0,20,0.3
work,M0O100,1301,1.301,1.0,8,0.08,0.08,7,0.07,2.391304347826087,25,0.3
work,M0O100,1301,1.301,1.2,8,0.08,0.08,7,0.07,2.4782608695652173,25,0.29
work,M0O100,1301,1.301,1.4,8,0.08,0.08,7,0.07,2.739130434782609,23,0.29
work,M0O100,1401,1.401,1.0,5,0.05,0.05,4,0.04,2.2,22,0.37
work,M0O100,1401,1.401,1.2,9,0.09,0.09,5,0.05,2.318681318681319,20,0.36
work,M0O100,1401,1.401,1.4,9,0.09,0.09,5,0.05,2.4725274725274726,20,0.34
work,M0O100,1501,1.501,1.0,5,0.05,0.05,5,0.05,2.284210526315789,22,0.37
work,M0O100,1501,1.501,1.2,5,0.05,0.05,5,0.05,2.3684210526315788,22,0.36
work,M0O100,1501,1.501,1.4,5,0.05,0.05,5,0.05,2.473684210526316,23,0.33
work,M0O100,1601,1.601,1.0,8,0.08,0.08,7,0.07,2.717391304347826,22,0.32
work,M0O100,1601,1.601,1.2,10,0.1,0.1,8,0.08,3.0,21,0.29
work,M0O100,1601,1.601,1.4,11,0.11,0.11,8,0.08,3.044943820224719,22,0.26
work,M0O100,1701,1.701,1.0,13,0.13,0.13,4,0.04,1.988505747126437,21,0.37
work,M0O100,1701,1.701,1.2,16,0.16,0.16,4,0.04,2.023809523809524,20,0.36
work,M0O100,1701,1.701,1.4,16,0.16,0.16,4,0.04,2.071428571428572,20,0.35
work,M0O100,1801,1.801,1.0,7,0.07,0.07,4,0.04,2.161290322580645,26,0.3
work,M0O100,1801,1.801,1.2,9,0.09,0.09,4,0.04,2.1868131868131866,26,0.28
work,M0O100,1801,1.801,1.4,9,0.09,0.09,4,0.04,2.208791208791209,27,0.26
work,M0O100,1901,1.901,1.0,8,0.08,0.08,8,0.08,3.0434782608695654,16,0.38
work,M0O100,1901,1.901,1.2,11,0.11,0.11,9,0.09,3.3146067415730336,15,0.36
work,M0O100,1901,1.901,1.4,13,0.13,0.13,9,0.09,3.574712643678161,14,0.34
work,M0O100,2001,2.001,1.0,8,0.08,0.08,5,0.05,2.1956521739130435,22,0.36
work,M0O100,2001,2.001,1.2,8,0.08,0.08,7,0.07,2.5,21,0.35
work,M0O100,2001,2.001,1.4,8,0.08,0.08,7,0.07,2.630434782608696,20,0.35
work,M0O100,2101,2.101,1.0,12,0.12,0.12,6,0.06,3.0,20,0.27
work,M0O100,2101,2.101,1.2,12,0.12,0.12,8,0.08,3.4318181818181817,20,0.24
work,M0O100,2101,2.101,1.4,12,0.12,0.12,8,0.08,3.590909090909091,20,0.22
work,M0O100,2201,2.201,1.0,12,0.12,0.12,6,0.06,2.477272727272727,22,0.3
work,M0O100,2201,2.201,1.2,13,0.13,0.13,9,0.09,3.0,21,0.28
work,M0O100,2201,2.201,1.4,13,0.13,0.13,9,0.09,3.2758620689655173,20,0.27
work,M0O100,2301,2.301,1.0,7,0.07,0.07,5,0.05,1.8172043010752688,19,0.49
work,M0O100,2301,2.301,1.2,7,0.07,0.07,6,0.06,2.247311827956989,19,0.42
work,M0O100,2301,2.301,1.4,8,0.08,0.08,7,0.07,2.717391304347826,18,0.36
work,M0O100,2401,2.401,1.0,6,0.06,0.06,5,0.05,2.382978723404255,21,0.36
work,M0O100,2401,2.401,1.2,10,0.1,0.1,6,0.06,2.6444444444444444,20,0.31
work,M0O100,2401,2.401,1.4,14,0.14,0.14,6,0.06,2.581395348837209,19,0.31
work,M0O100,2501,2.501,1.0,7,0.07,0.07,5,0.05,2.247311827956989,27,0.28
work,M0O100,2501,2.501,1.2,9,0.09,0.09,5,0.05,2.3626373626373627,27,0.24
work,M0O100,2501,2.501,1.4,10,0.1,0.1,5,0.05,2.511111111111111,26,0.23
work,M0O100,2601,2.601,1.0,6,0.06,0.06,6,0.06,2.3191489361702127,24,0.34
work,M0O100,2601,2.601,1.2,6,0.06,0.06,6,0.06,2.5319148936170213,23,0.33
work,M0O100,2601,2.601,1.4,6,0.06,0.06,6,0.06,2.6808510638297878,24,0.28
work,M0O100,2701,2.701,1.0,6,0.06,0.06,6,0.06,2.3617021276595747,21,0.39
work,M0O100,2701,2.701,1.2,6,0.06,0.06,6,0.06,2.3617021276595747,21,0.39
work,M0O100,2701,2.701,1.4,7,0.07,0.07,6,0.06,2.591397849462365,20,0.36
work,M0O100,2801,2.801,1.0,6,0.06,0.06,5,0.05,2.2127659574468086,21,0.39
work,M0O100,2801,2.801,1.2,6,0.06,0.06,5,0.05,2.404255319148936,20,0.38
work,M0O100,2801,2.801,1.4,7,0.07,0.07,7,0.07,2.935483870967742,18,0.34
work,M0O100,2901,2.901,1.0,10,0.1,0.1,4,0.04,2.0444444444444443,24,0.33
work,M0O100,2901,2.901,1.2,10,0.1,0.1,5,0.05,2.1555555555555554,25,0.3
work,M0O100,2901,2.901,1.4,12,0.12,0.12,5,0.05,2.386363636363636,26,0.22
work,M0O100,3001,3.001,1.0,6,0.06,0.06,6,0.06,1.7234042553191489,19,0.53
work,M0O100,3001,3.001,1.2,6,0.06,0.06,6,0.06,1.8297872340425527,19,0.51
work,M0O100,3001,3.001,1.4,6,0.06,0.06,6,0.06,2.0,18,0.51
work,M0O100,3101,3.101,1.0,8,0.08,0.08,6,0.06,2.260869565217391,23,0.35
work,M0O100,3101,3.101,1.2,8,0.08,0.08,8,0.08,2.6739130434782608,22,0.33
work,M0O100,3101,3.101,1.4,16,0.16,0.16,6,0.06,2.357142857142857,20,0.31
work,M0O100,3201,3.201,1.0,6,0.06,0.06,5,0.05,1.851063829787234,20,0.47
work,M0O100,3201,3.201,1.2,7,0.07,0.07,5,0.05,2.032258064516129,19,0.45
work,M0O100,3201,3.201,1.4,7,0.07,0.07,6,0.06,2.247311827956989,19,0.42
work,M0O100,3301,3.301,1.0,6,0.06,0.06,6,0.06,2.6808510638297878,23,0.29
work,M0O100,3301,3.301,1.2,7,0.07,0.07,6,0.06,2.827956989247312,22,0.28
work,M0O100,3301,3.301,1.4,7,0.07,0.07,6,0.06,2.913978494623656,23,0.25
work,M0O100,3401,3.401,1.0,8,0.08,0.08,5,0.05,2.391304347826087,21,0.34
work,M0O100,3401,3.401,1.2,9,0.09,0.09,7,0.07,2.7142857142857144,20,0.32
work,M0O100,3401,3.401,1.4,9,0.09,0.09,7,0.07,2.8461538461538463,20,0.3
work,M0O100,3501,3.501,1.0,10,0.1,0.1,9,0.09,3.2222222222222223,23,0.22
work,M0O100,3501,3.501,1.2,10,0.1,0.1,9,0.09,3.733333333333333,21,0.21
work,M0O100,3501,3.501,1.4,10,0.1,0.1,9,0.09,3.8666666666666663,20,0.21
work,M0O100,3601,3.601,1.0,5,0.05,0.05,4,0.04,1.9684210526315788,22,0.42
work,M0O100,3601,3.601,1.2,7,0.07,0.07,6,0.06,2.5698924731182795,22,0.33
work,M0O100,3601,3.601,1.4,10,0.1,0.1,8,0.08,3.2222222222222223,20,0.3
work,M0O100,3701,3.701,1.0,16,0.16,0.16,5,0.05,2.142857142857143,18,0.38
work,M0O100,3701,3.701,1.2,16,0.16,0.16,5,0.05,2.142857142857143,18,0.38
work,M0O100,3701,3.701,1.4,16,0.16,0.16,5,0.05,2.333333333333333,17,0.37
work,M0O100,3801,3.801,1.0,6,0.06,0.06,5,0.05,2.191489361702128,20,0.41
work,M0O100,3801,3.801,1.2,7,0.07,0.07,6,0.06,2.376344086021505,18,0.41
work,M0O100,3801,3.801,1.4,13,0.13,0.13,6,0.06,2.5632183908045976,15,0.4
work,M0O100,3901,3.901,1.0,5,0.05,0.05,4,0.04,1.9684210526315788,26,0.35
work,M0O100,3901,3.901,1.2,7,0.07,0.07,5,0.05,2.118279569892473,25,0.33
work,M0O100,3901,3.901,1.4,7,0.07,0.07,5,0.05,2.2688172043010755,26,0.29
work,M0O100,4001,4.001,1.0,6,0.06,0.06,4,0.04,1.872340425531915,25,0.39
work,M0O100,4001,4.001,1.2,6,0.06,0.06,4,0.04,2.0,24,0.38
work,M0O100,4001,4.001,1.4,6,0.06,0.06,5,0.05,2.0851063829787235,24,0.37
work,M0O100,4101,4.101,1.0,7,0.07,0.07,6,0.06,2.806451612903226,23,0.26
work,M0O100,4101,4.101,1.2,7,0.07,0.07,6,0.06,2.913978494623656,23,0.25
work,M0O100,4101,4.101,1.4,8,0.08,0.08,7,0.07,3.369565217391304,21,0.23
work,M0O100,4201,4.2010000000000005,1.0,7,0.07,0.07,5,0.05,2.290322580645161,24,0.32
work,M0O100,4201,4.2010000000000005,1.2,7,0.07,0.07,7,0.07,2.677419354838709,22,0.32
work,M0O100,4201,4.2010000000000005,1.4,7,0.07,0.07,7,0.07,2.763440860215054,22,0.31
work,M0O100,4301,4.301,1.0,9,0.09,0.09,5,0.05,2.67032967032967,20,0.31
work,M0O100,4301,4.301,1.2,9,0.09,0.09,8,0.08,3.043956043956044,21,0.27
work,M0O100,4301,4.301,1.4,10,0.1,0.1,8,0.08,3.6,19,0.26
work,M0O100,4401,4.401,1.0,9,0.09,0.09,6,0.06,2.340659340659341,22,0.35
work,M0O100,4401,4.401,1.2,9,0.09,0.09,6,0.06,2.6043956043956045,23,0.29
work,M0O100,4401,4.401,1.4,9,0.09,0.09,6,0.06,2.6263736263736264,24,0.27
work,M0O100,4501,4.501,1.0,8,0.08,0.08,7,0.07,2.9565217391304346,20,0.31
work,M0O100,4501,4.501,1.2,9,0.09,0.09,8,0.08,3.3076923076923075,20,0.27
work,M0O100,4501,4.501,1.4,13,0.13,0.13,9,0.09,3.413793103448276,19,0.26
work,M0O100,4601,4.601,1.0,19,0.19,0.19,6,0.06,2.3580246913580245,18,0.34
work,M0O100,4601,4.601,1.2,19,0.19,0.19,6,0.06,2.3580246913580245,18,0.34
work,M0O100,4601,4.601,1.4,19,0.19,0.19,6,0.06,2.3580246913580245,18,0.34
work,M0O100,4701,4.7010000000000005,1.0,6,0.06,0.06,4,0.04,2.3404255319148937,25,0.29
work,M0O100,4701,4.7010000000000005,1.2,11,0.11,0.11,4,0.04,2.415730337078652,24,0.26
work,M0O100,4701,4.7010000000000005,1.4,11,0.11,0.11,4,0.04,2.438202247191011,25,0.24
work,M0O100,4801,4.801,1.0,14,0.14,0.14,12,0.12,3.604651162790698,15,0.38
work,M0O100,4801,4.801,1.2,14,0.14,0.14,12,0.12,3.7906976744186047,15,0.36
work,M0O100,4801,4.801,1.4,14,0.14,0.14,13,0.13,4.069767441860465,15,0.35
work,M0O100,4901,4.901,1.0,9,0.09,0.09,7,0.07,2.56043956043956,23,0.31
work,M0O100,4901,4.901,1.2,10,0.1,0.1,9,0.09,2.888888888888889,22,0.3
work,M0O100,4901,4.901,1.4,10,0.1,0.1,9,0.09,2.911111111111111,23,0.28
work-1,M0O100,1001,1.001,1.0,8,0.08,0.08,5,0.05,2.391304347826087,20,0.35
work-1,M0O100,1001,1.001,1.2,8,0.08,0.08,5,0.05,2.4347826086956523,22,0.31
work-1,M0O100,1001,1.001,1.4,8,0.08,0.08,6,0.06,2.6956521739130435,21,0.3
work-1,M0O100,1101,1.101,1.0,10,0.1,0.1,6,0.06,2.3777777777777778,22,0.33
work-1,M0O100,1101,1.101,1.2,10,0.1,0.1,6,0.06,2.4444444444444446,23,0.3
work-1,M0O100,1101,1.101,1.4,10,0.1,0.1,8,0.08,3.1333333333333333,23,0.25
work-1,M0O100,1201,1.201,1.0,6,0.06,0.06,5,0.05,2.276595744680851,21,0.39
work-1,M0O100,1201,1.201,1.2,6,0.06,0.06,5,0.05,2.3617021276595747,22,0.36
work-1,M0O100,1201,1.201,1.4,6,0.06,0.06,6,0.06,2.5531914893617023,22,0.33
work-1,M0O100,1301,1.301,1.0,10,0.1,0.1,6,0.06,2.422222222222222,23,0.31
work-1,M0O100,1301,1.301,1.2,11,0.11,0.11,6,0.06,2.438202247191011,23,0.3
work-1,M0O100,1301,1.301,1.4,11,0.11,0.11,6,0.06,2.438202247191011,23,0.3
work-1,M0O100,1401,1.401,1.0,8,0.08,0.08,7,0.07,3.0,20,0.31
work-1,M0O100,1401,1.401,1.2,8,0.08,0.08,7,0.07,3.0217391304347827,21,0.29
work-1,M0O100,1401,1.401,1.4,8,0.08,0.08,8,0.08,3.3043478260869565,22,0.24
work-1,M0O100,1501,1.501,1.0,6,0.06,0.06,5,0.05,2.106382978723404,24,0.37
work-1,M0O100,1501,1.501,1.2,6,0.06,0.06,5,0.05,2.106382978723404,24,0.37
work-1,M0O100,1501,1.501,1.4,7,0.07,0.07,6,0.06,2.3118279569892475,23,0.36
work-1,M0O100,1601,1.601,1.0,8,0.08,0.08,7,0.07,2.565217391304348,22,0.33
work-1,M0O100,1601,1.601,1.2,9,0.09,0.09,8,0.08,2.8461538461538463,21,0.32
work-1,M0O100,1601,1.601,1.4,9,0.09,0.09,8,0.08,2.978021978021978,20,0.32
work-1,M0O100,1701,1.701,1.0,10,0.1,0.1,7,0.07,2.933333333333333,15,0.4
work-1,M0O100,1701,1.701,1.2,12,0.12,0.12,7,0.07,3.0454545454545454,15,0.37
work-1,M0O100,1701,1.701,1.4,12,0.12,0.12,8,0.08,3.3181818181818183,16,0.33
work-1,M0O100,1801,1.801,1.0,12,0.12,0.12,8,0.08,2.727272727272727,23,0.27
work-1,M0O100,1801,1.801,1.2,13,0.13,0.13,8,0.08,2.8160919540229883,23,0.25
