replicate,system,frame,time_us,box_nm,n_MED1_sequence_equivalents,n_MED1_physical_chains,n_OCT4,n_DNA,n_physical_proteins,direct_largest_protein_fraction,augmented_largest_protein_fraction,DNA_component_protein_fraction,DNA_component_MED1,DNA_component_OCT4,n_PP_edges,PP_edge_density,OO_contact_probability,MM_contact_probability,OM_contact_probability,OD_contact_probability,MD_contact_probability,OCT4_mean_degree,MED1_mean_degree,DNA_mean_degree,OCT4_fraction_contacting_DNA,MED1_fraction_contacting_DNA,DNA_Rg_nm,DNA_Ree_nm,DNA_asphericity,DNA_fraction_beads_contacting_OCT4,DNA_fraction_beads_contacting_MED1,DNA_fraction_beads_contacting_any_protein,N_OCT4_molecules_contacting_DNA,N_MED1_molecules_contacting_DNA
work,M0O100,1001,1.001,75.0,0,0,100,0,100,0.08,0.08,,,,59,0.0119191919191919,0.0119191919191919,,,,,1.18,,,0.0,,,,,,,,,
work,M0O100,1101,1.101,75.0,0,0,100,0,100,0.09,0.09,,,,60,0.0121212121212121,0.0121212121212121,,,,,1.2,,,0.0,,,,,,,,,
work,M0O100,1201,1.201,75.0,0,0,100,0,100,0.07,0.07,,,,56,0.0113131313131313,0.0113131313131313,,,,,1.12,,,0.0,,,,,,,,,
work,M0O100,1301,1.301,75.0,0,0,100,0,100,0.08,0.08,,,,57,0.0115151515151515,0.0115151515151515,,,,,1.14,,,0.0,,,,,,,,,
work,M0O100,1401,1.401,75.0,0,0,100,0,100,0.09,0.09,,,,53,0.0107070707070707,0.0107070707070707,,,,,1.06,,,0.0,,,,,,,,,
work,M0O100,1501,1.501,75.0,0,0,100,0,100,0.05,0.05,,,,53,0.0107070707070707,0.0107070707070707,,,,,1.06,,,0.0,,,,,,,,,
work,M0O100,1601,1.601,75.0,0,0,100,0,100,0.1,0.1,,,,59,0.0119191919191919,0.0119191919191919,,,,,1.18,,,0.0,,,,,,,,,
work,M0O100,1701,1.701,75.0,0,0,100,0,100,0.16,0.16,,,,51,0.0103030303030303,0.0103030303030303,,,,,1.02,,,0.0,,,,,,,,,
work,M0O100,1801,1.801,75.0,0,0,100,0,100,0.09,0.09,,,,56,0.0113131313131313,0.0113131313131313,,,,,1.12,,,0.0,,,,,,,,,
work,M0O100,1901,1.901,75.0,0,0,100,0,100,0.11,0.11,,,,62,0.0125252525252525,0.0125252525252525,,,,,1.24,,,0.0,,,,,,,,,
work,M0O100,2001,2.001,75.0,0,0,100,0,100,0.08,0.08,,,,57,0.0115151515151515,0.0115151515151515,,,,,1.14,,,0.0,,,,,,,,,
work,M0O100,2101,2.101,75.0,0,0,100,0,100,0.12,0.12,,,,69,0.0139393939393939,0.0139393939393939,,,,,1.38,,,0.0,,,,,,,,,
work,M0O100,2201,2.201,75.0,0,0,100,0,100,0.13,0.13,,,,60,0.0121212121212121,0.0121212121212121,,,,,1.2,,,0.0,,,,,,,,,
work,M0O100,2301,2.301,75.0,0,0,100,0,100,0.07,0.07,,,,46,0.0092929292929292,0.0092929292929292,,,,,0.92,,,0.0,,,,,,,,,
work,M0O100,2401,2.401,75.0,0,0,100,0,100,0.1,0.1,,,,58,0.0117171717171717,0.0117171717171717,,,,,1.16,,,0.0,,,,,,,,,
work,M0O100,2501,2.501,75.0,0,0,100,0,100,0.09,0.09,,,,61,0.0123232323232323,0.0123232323232323,,,,,1.22,,,0.0,,,,,,,,,
work,M0O100,2601,2.601,75.0,0,0,100,0,100,0.06,0.06,,,,53,0.0107070707070707,0.0107070707070707,,,,,1.06,,,0.0,,,,,,,,,
work,M0O100,2701,2.701,75.0,0,0,100,0,100,0.06,0.06,,,,52,0.0105050505050505,0.0105050505050505,,,,,1.04,,,0.0,,,,,,,,,
work,M0O100,2801,2.801,75.0,0,0,100,0,100,0.06,0.06,,,,48,0.0096969696969696,0.0096969696969696,,,,,0.96,,,0.0,,,,,,,,,
work,M0O100,2901,2.901,75.0,0,0,100,0,100,0.1,0.1,,,,56,0.0113131313131313,0.0113131313131313,,,,,1.12,,,0.0,,,,,,,,,
work,M0O100,3001,3.001,75.0,0,0,100,0,100,0.06,0.06,,,,35,0.007070707070707,0.007070707070707,,,,,0.7,,,0.0,,,,,,,,,
work,M0O100,3101,3.101,75.0,0,0,100,0,100,0.08,0.08,,,,55,0.0111111111111111,0.0111111111111111,,,,,1.1,,,0.0,,,,,,,,,
work,M0O100,3201,3.201,75.0,0,0,100,0,100,0.07,0.07,,,,41,0.0082828282828282,0.0082828282828282,,,,,0.82,,,0.0,,,,,,,,,
