comparison,without_DNA_system,with_DNA_system,replicate,cutoff_nm,metric,without_DNA,with_DNA,delta_with_minus_without
0% MED1,M0O100,M0O100D1,work,1.0,largest_cluster_fraction,0.08075,0.47424999999999995,0.39349999999999996
0% MED1,M0O100,M0O100D1,work,1.2,largest_cluster_fraction,0.091,0.47874999999999995,0.38774999999999993
0% MED1,M0O100,M0O100D1,work,1.4,largest_cluster_fraction,0.1005,0.4835,0.383
0% MED1,M0O100,M0O100D1,work,1.2,PP_edge_density,0.011348484848484818,0.03147979797979794,0.020131313131313125
0% MED1,M0O100,M0O100D1,work,1.2,n_PP_edges,56.175,155.825,99.64999999999999
0% MED1,M0O100,M0O100D1,work-1,1.0,largest_cluster_fraction,0.08075,0.47975,0.399
0% MED1,M0O100,M0O100D1,work-1,1.2,largest_cluster_fraction,0.08775,0.4845,0.39675
0% MED1,M0O100,M0O100D1,work-1,1.4,largest_cluster_fraction,0.0925,0.49074999999999996,0.39825
0% MED1,M0O100,M0O100D1,work-1,1.2,PP_edge_density,0.011227272727272693,0.03149999999999996,0.020272727272727265
0% MED1,M0O100,M0O100D1,work-1,1.2,n_PP_edges,55.575,155.925,100.35000000000001
0% MED1,M0O100,M0O100D1,work-2,1.0,largest_cluster_fraction,0.082,0.46449999999999997,0.38249999999999995
0% MED1,M0O100,M0O100D1,work-2,1.2,largest_cluster_fraction,0.089,0.47800000000000004,0.389
0% MED1,M0O100,M0O100D1,work-2,1.4,largest_cluster_fraction,0.09125,0.488,0.39675
0% MED1,M0O100,M0O100D1,work-2,1.2,PP_edge_density,0.01174242424242421,0.02998484848484843,0.01824242424242422
0% MED1,M0O100,M0O100D1,work-2,1.2,n_PP_edges,58.125,148.425,90.30000000000001
10% MED1,M10O90,M10O90D1,work,1.0,largest_cluster_fraction,0.14950000000000002,0.49824999999999997,0.34874999999999995
10% MED1,M10O90,M10O90D1,work,1.2,largest_cluster_fraction,0.16775,0.518,0.35025
10% MED1,M10O90,M10O90D1,work,1.4,largest_cluster_fraction,0.1855,0.53125,0.34575
10% MED1,M10O90,M10O90D1,work,1.2,PP_edge_density,0.012656565656565626,0.031040404040403997,0.01838383838383837
