replicate,metric,Full,Split_2,Split_4,range_across_definitions
work,physical_linked_bead_q90_nm,10.760093090874417,10.760093090874417,10.760093090874417,0.0
work,physical_linked_block_com_q90_nm,7.3990303141278115,7.3990303141278115,7.3990303141278115,0.0
work,fixed_parent_linked_bead_q90_nm,10.760093090874417,10.760093090874417,10.760093090874417,0.0
work,fixed_parent_linked_block_com_q90_nm,7.3990303141278115,7.3990303141278115,7.3990303141278115,0.0
work,external_block_linked_bead_q90_nm,10.760093090874417,10.760093090874417,10.760093090874417,0.0
work,external_block_linked_block_com_q90_nm,7.3990303141278115,7.3990303141278115,7.3990303141278115,0.0
work,all_protein_bead_q90_nm,41.42209648216946,41.42209648216946,41.42209648216946,0.0
work,all_protein_block_com_q90_nm,40.9987500702516,40.9987500702516,40.9987500702516,0.0
work-1,physical_linked_bead_q90_nm,,,,
work-1,physical_linked_block_com_q90_nm,,,,
work-1,fixed_parent_linked_bead_q90_nm,,,,
work-1,fixed_parent_linked_block_com_q90_nm,,,,
work-1,external_block_linked_bead_q90_nm,,,,
work-1,external_block_linked_block_com_q90_nm,,,,
work-1,all_protein_bead_q90_nm,38.59616945716819,38.59616945716819,38.59616945716819,0.0
work-1,all_protein_block_com_q90_nm,38.27795345115301,38.27795345115301,38.27795345115301,0.0
work-2,physical_linked_bead_q90_nm,,,,
work-2,physical_linked_block_com_q90_nm,,,,
work-2,fixed_parent_linked_bead_q90_nm,,,,
work-2,fixed_parent_linked_block_com_q90_nm,,,,
work-2,external_block_linked_bead_q90_nm,,,,
work-2,external_block_linked_block_com_q90_nm,,,,
work-2,all_protein_bead_q90_nm,45.24840155072075,45.24840155072075,45.24840155072075,0.0
work-2,all_protein_block_com_q90_nm,44.410828945737265,44.410828945737265,44.410828945737265,0.0
