DNA_condition,replicate,contrast,total_diagonal_effect,direct_mask_effect_on_Full_coordinates,coordinate_ensemble_effect_under_fragment_mask,additivity_error
−DNA,work,Full−Split-2,0.09235376477909152,0.08605009334163038,0.0063036714374611336,0.0
−DNA,work,Full−Split-4,0.1228448454677453,0.12488799004355945,-0.002043144575814157,0.0
−DNA,work-1,Full−Split-2,0.08236621032980712,0.07692128189172373,0.005444928438083391,0.0
−DNA,work-1,Full−Split-4,0.09148257622899815,0.10888041900020745,-0.0173978427712093,0.0
−DNA,work-2,Full−Split-2,0.08775357809583073,0.07276446795270688,0.014989110143123846,0.0
−DNA,work-2,Full−Split-4,0.09523750259282306,0.10926674963700475,-0.014029247044181695,0.0
+DNA,work,Full−Split-2,0.1524595519601742,0.1056985065339141,0.046761045426260084,0.0
+DNA,work,Full−Split-4,0.14725420037336645,0.17432016179215926,-0.027065961418792805,0.0
+DNA,work-1,Full−Split-2,0.07979153702551339,0.061490354698195415,0.018301182327317977,0.0
+DNA,work-1,Full−Split-4,0.1189986517320058,0.1316251814976146,-0.012626529765608796,0.0
+DNA,work-2,Full−Split-2,0.07999222153080265,0.07763534536403238,0.002356876166770272,0.0
+DNA,work-2,Full−Split-4,0.10443165318398667,0.13270638871603402,-0.028274735532047346,0.0
