DNA_condition,coordinate_ensemble,covalent_mask,residue_LCC_fraction_mean,residue_LCC_fraction_sd,residue_LCC_fraction_n
+DNA,Full,Full,0.5230538270068451,0.03197473514263486,3
+DNA,Full,Split-2,0.4414457581414644,0.021085070287555664,3
+DNA,Full,Split-4,0.376836583004909,0.012792708231545555,3
+DNA,Split-2,Full,0.592441920763327,0.019926606952062033,3
+DNA,Split-2,Split-2,0.4189727235013483,0.016161054779221556,3
+DNA,Split-2,Split-4,0.3688748876443338,0.010825488793066293,3
+DNA,Split-4,Full,0.6650534121551545,0.028169878870825452,3
+DNA,Split-4,Split-2,0.47100705247873886,0.022280246799992572,3
+DNA,Split-4,Split-4,0.3994923252437254,0.010203464514337093,3
−DNA,Full,Full,0.20585096453018048,0.010821099609976624,3
−DNA,Full,Split-2,0.12727235013482682,0.0043503337335194904,3
−DNA,Full,Split-4,0.09150591163658993,0.0021822808901601092,3
−DNA,Split-2,Full,0.28463752333540754,0.01595221442208593,3
−DNA,Split-2,Split-2,0.118359780128604,0.0076449888761546325,3
−DNA,Split-2,Split-4,0.08643383115536196,0.003922559262621235,3
−DNA,Split-4,Full,0.3571297448662103,0.007850128382676893,3
−DNA,Split-4,Split-2,0.15789877618751294,0.013779690092100214,3
−DNA,Split-4,Split-4,0.10266265643365831,0.007023964487017688,3
