DNA_condition,coordinate_ensemble,covalent_mask,replicate,residue_LCC_fraction
−DNA,Full,Full,work,0.2182591785936528
−DNA,Full,Split-2,work,0.1322090852520224
−DNA,Full,Split-4,work,0.09337118855009334
−DNA,Full,Full,work-1,0.20092097075295584
−DNA,Full,Split-2,work-1,0.12399968886123211
−DNA,Full,Split-4,work-1,0.09204055175274839
−DNA,Full,Full,work-2,0.19837274424393278
−DNA,Full,Split-2,work-2,0.1256082762912259
−DNA,Full,Split-4,work-2,0.08910599460692803
−DNA,Split-2,Full,work,0.30221375233354075
−DNA,Split-2,Split-2,work,0.12590541381456127
−DNA,Split-2,Split-4,work,0.08699491806679112
−DNA,Split-2,Full,work-1,0.271076540136901
−DNA,Split-2,Split-2,work-1,0.11855476042314872
−DNA,Split-2,Split-4,work-1,0.09004563368595728
−DNA,Split-2,Full,work-2,0.28062227753578095
−DNA,Split-2,Split-2,work-2,0.11061916614810205
−DNA,Split-2,Split-4,work-2,0.08226094171333748
−DNA,Split-4,Full,work,0.34934816428126947
−DNA,Split-4,Split-2,work,0.1482249533291848
−DNA,Split-4,Split-4,work,0.0954143331259075
−DNA,Split-4,Full,work-1,0.36504667081518355
−DNA,Split-4,Split-2,work-1,0.173676104542626
−DNA,Split-4,Split-4,work-1,0.10943839452395769
−DNA,Split-4,Full,work-2,0.35699439950217793
−DNA,Split-4,Split-2,work-2,0.15179527069072807
−DNA,Split-4,Split-4,work-2,0.10313524165110972
+DNA,Full,Full,work,0.5577629122588674
+DNA,Full,Split-2,work,0.4520644057249533
+DNA,Full,Split-4,work,0.38344275046670817
+DNA,Full,Full,work-1,0.5166008089607965
+DNA,Full,Split-2,work-1,0.4551104542626011
+DNA,Full,Split-4,work-1,0.3849756274631819
+DNA,Full,Full,work-2,0.49479775980087115
+DNA,Full,Split-2,work-2,0.41716241443683877
+DNA,Full,Split-4,work-2,0.36209137108483713
+DNA,Split-2,Full,work,0.5720395146235221
+DNA,Split-2,Split-2,work,0.40530336029869324
+DNA,Split-2,Split-4,work,0.36340178386226923
+DNA,Split-2,Full,work-1,0.6118559427504667
+DNA,Split-2,Split-2,work-1,0.4368092719352831
+DNA,Split-2,Split-4,work-1,0.38134411947728686
+DNA,Split-2,Full,work-2,0.5934303049159925
+DNA,Split-2,Split-2,work-2,0.4148055382700685
+DNA,Split-2,Split-4,work-2,0.36187875959344534
+DNA,Split-4,Full,work,0.6964747977598009
+DNA,Split-4,Split-2,work,0.49665992532669573
+DNA,Split-4,Split-4,work,0.410508711885501
+DNA,Split-4,Full,work-1,0.6420581829495955
+DNA,Split-4,Split-2,work-1,0.45649035469819543
+DNA,Split-4,Split-4,work-1,0.3976021572287907
+DNA,Split-4,Full,work-2,0.6566272557560672
+DNA,Split-4,Split-2,work-2,0.4598708774113255
+DNA,Split-4,Split-4,work-2,0.3903661066168845
