system,replicate,block_residue_LCC_mask_Full,block_residue_LCC_mask_Split_2,block_residue_LCC_mask_Split_4,physical_linked_bead_count,physical_linked_bead_mean_nm,physical_linked_bead_q90_nm,physical_linked_block_com_count,physical_linked_block_com_mean_nm,physical_linked_block_com_q90_nm,fixed_parent_linked_bead_count,fixed_parent_linked_bead_mean_nm,fixed_parent_linked_bead_q90_nm,fixed_parent_linked_block_com_count,fixed_parent_linked_block_com_mean_nm,fixed_parent_linked_block_com_q90_nm,external_block_linked_bead_count,external_block_linked_bead_mean_nm,external_block_linked_bead_q90_nm,external_block_linked_block_com_count,external_block_linked_block_com_mean_nm,external_block_linked_block_com_q90_nm,all_protein_bead_count,all_protein_bead_mean_nm,all_protein_bead_q90_nm,all_protein_block_com_count,all_protein_block_com_mean_nm,all_protein_block_com_q90_nm,physical_linked_residue_fraction,fixed_parent_linked_parent_fraction,fixed_parent_linked_residue_fraction,external_block_linked_residue_fraction
M10O90,work,0.2182591785936528,0.1322090852520224,0.09337118855009334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work-1,0.20092097075295584,0.12399968886123211,0.09204055175274839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work-2,0.19837274424393278,0.1256082762912259,0.08910599460692803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S2,work,0.30221375233354075,0.12590541381456127,0.08699491806679112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S2,work-1,0.271076540136901,0.11855476042314872,0.09004563368595728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S2,work-2,0.28062227753578095,0.11061916614810205,0.08226094171333748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S4,work,0.34934816428126947,0.1482249533291848,0.0954143331259075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S4,work-1,0.36504667081518355,0.173676104542626,0.10943839452395769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S4,work-2,0.35699439950217793,0.15179527069072807,0.10313524165110972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90D1,work,0.5577629122588674,0.4520644057249533,0.38344275046670817,27001.275,13.409324951831584,30.789457387568763,72.35,12.316132834358891,30.336807216449465,27001.275,13.409324951831584,30.789457387568763,72.35,12.316132834358891,30.336807216449465,18568.025,7.317271912014242,16.062784051137548,50.35,6.0016785132171275,14.627670425456552,48210.0,21.320238549589284,38.84989634657907,130.0,20.792908597929287,38.53852269101361,0.5600762289981331,0.52025,0.5600762289981331,0.38514882804397427
M10O90D1,work-1,0.5166008089607965,0.4551104542626011,0.3849756274631819,25074.375,11.83998120829103,26.975091387128266,67.35,10.689372569197841,26.418892202761857,25074.375,11.83998120829103,26.975091387128266,67.35,10.689372569197841,26.418892202761857,18631.775,7.433755929752877,16.397417068714304,50.5,6.1022364814017855,15.146606202833421,48210.0,21.272654435153093,38.70535918127892,130.0,20.74804334818773,38.5345781824473,0.5201073428749222,0.49725,0.5201073428749222,0.38647116780750884
M10O90D1,work-2,0.49479775980087115,0.41716241443683877,0.36209137108483713,23854.2,11.880582918449793,27.884273699168308,64.225,10.734171212143334,27.431445423859138,23854.2,11.880582918449793,27.884273699168308,64.225,10.734171212143334,27.431445423859138,17456.425,6.651501181461389,14.36156485481539,47.5,5.306255190387914,12.837081560467075,48210.0,21.99961278040947,40.27056587741087,130.0,21.475871790441538,40.05076099007432,0.49479775980087115,0.48624999999999996,0.49479775980087115,0.36209137108483713
M10O90D1-S2,work,0.5720395146235221,0.40530336029869324,0.36340178386226923,19589.025,8.5203229743974,20.242281641486713,53.35,7.268495544831403,19.415348729488144,27578.025,15.18427834795132,36.020956475892646,74.05,14.084758731897775,35.71845903161049,17519.6,6.651289241888348,14.436488669723493,47.825,5.314848021609104,12.833811405661132,48210.0,21.901200336616153,39.32606107710756,130.0,21.33578701617074,39.08835520711942,0.4063270068450529,0.54475,0.5720395146235221,0.36340178386226923
M10O90D1-S2,work-1,0.6118559427504667,0.4368092719352831,0.38134411947728686,21087.75,9.567046981828478,22.323981959920665,56.975,8.393854523976206,21.9527349056762,29497.575,15.860858127160986,35.429881229320365,78.775,14.851984345079249,35.067590925365515,18384.6,7.466717549069109,16.72371586985203,49.725,6.171528606645731,15.292565556989675,48210.0,21.845666505120153,39.83405849352141,130.0,21.333596101776454,39.56754226028157,0.43741443683883013,0.5455,0.6118559427504667,0.38134411947728686
M10O90D1-S2,work-2,0.5934303049159925,0.4148055382700685,0.36187875959344534,20092.125,9.37201924353784,21.71820993546968,54.325,8.23156433076933,20.740530686088906,28654.275,16.163295375181484,36.62741033728659,76.55,15.182102926582067,36.40636430093431,17491.175,7.230457349020798,15.835186016553852,47.35,5.967820955300933,14.071917271903416,48210.0,22.03916442020577,39.67739995623985,130.0,21.559614631227884,39.530366601921884,0.4167626011200996,0.53225,0.594363721219664,0.3628121758971168
M10O90D1-S4,work,0.6964747977598009,0.49665992532669573,0.410508711885501,19943.45,7.583646216755639,16.352366197371886,53.65,6.333776614142588,15.052355680908216,33577.05,17.120986752507,37.229886653617875,89.725,16.316108743235784,37.0588899682284,19790.625,7.503616392366749,16.194588453013814,53.25,6.248482891080109,14.876582586190207,48210.0,21.395494330008944,39.745469250147735,130.0,20.9432110747181,39.58307634664412,0.41367869736569174,0.62575,0.6964747977598009,0.410508711885501
M10O90D1-S4,work-1,0.6420581829495955,0.45649035469819543,0.3976021572287907,19429.85,7.094830600589243,15.348589458124076,52.375,5.894501464613179,14.178985350466462,31209.15,16.163724445501746,36.532419134945215,83.5,15.354604692015476,36.41793638256824,19354.1,7.0738704837710715,15.31402657183113,52.175,5.870024656381265,14.143623567223134,48210.0,21.152885030751772,39.008354104124514,130.0,20.71796149125509,38.85925966661797,0.40302530595312175,0.5905,0.6473584318606098,0.4014540551752749
