system,replicate,frame,time_us,parent_n_nodes,parent_n_edges,parent_edge_density,parent_mean_partner_number,parent_largest_component_fraction,parent_free_chain_fraction,MED1_parent_mean_partner_number,OCT4_parent_mean_partner_number,block_n_nodes,block_n_eligible_external_pairs,block_n_edges,block_edge_density,block_mean_partner_number,block_largest_component_fraction,continuity_block_n_edges,continuity_block_n_covalent_edges,continuity_block_largest_component_fraction,continuity_block_residue_LCC_fraction,cross_parent_residue_contacts_per_100_residues,MED1_cross_parent_contact_incidences_per_100_residues,OCT4_cross_parent_contact_incidences_per_100_residues,n_sibling_MED1_fragment_edges_excluded,n_sibling_MED1_residue_pairs_excluded,DNA_direct_MED1_parent_count,DNA_direct_OCT4_parent_count,DNA_linked_physical_fraction,DNA_direct_physical_fraction,DNA_second_physical_fraction,DNA_third_plus_physical_fraction,DNA_linked_residue_fraction,DNA_direct_residue_fraction,DNA_second_residue_fraction,DNA_third_plus_residue_fraction,DNA_linked_parent_fraction,DNA_direct_parent_fraction,DNA_second_parent_fraction,DNA_third_plus_parent_fraction,DNA_linked_bead_all_count,DNA_linked_bead_all_total_weight,DNA_linked_bead_all_mean_nm,DNA_linked_bead_all_q90_nm,DNA_linked_bead_OCT4_count,DNA_linked_bead_OCT4_total_weight,DNA_linked_bead_OCT4_mean_nm,DNA_linked_bead_OCT4_q90_nm,DNA_linked_bead_MED1_count,DNA_linked_bead_MED1_total_weight,DNA_linked_bead_MED1_mean_nm,DNA_linked_bead_MED1_q90_nm,DNA_linked_parent_weighted_bead_all_count,DNA_linked_parent_weighted_bead_all_total_weight,DNA_linked_parent_weighted_bead_all_mean_nm,DNA_linked_parent_weighted_bead_all_q90_nm,DNA_linked_parent_weighted_bead_OCT4_count,DNA_linked_parent_weighted_bead_OCT4_total_weight,DNA_linked_parent_weighted_bead_OCT4_mean_nm,DNA_linked_parent_weighted_bead_OCT4_q90_nm,DNA_linked_parent_weighted_bead_MED1_count,DNA_linked_parent_weighted_bead_MED1_total_weight,DNA_linked_parent_weighted_bead_MED1_mean_nm,DNA_linked_parent_weighted_bead_MED1_q90_nm,DNA_linked_physical_chain_com_all_count,DNA_linked_physical_chain_com_all_total_weight,DNA_linked_physical_chain_com_all_mean_nm,DNA_linked_physical_chain_com_all_q90_nm,DNA_linked_physical_chain_com_OCT4_count,DNA_linked_physical_chain_com_OCT4_total_weight,DNA_linked_physical_chain_com_OCT4_mean_nm,DNA_linked_physical_chain_com_OCT4_q90_nm,DNA_linked_physical_chain_com_MED1_count,DNA_linked_physical_chain_com_MED1_total_weight,DNA_linked_physical_chain_com_MED1_mean_nm,DNA_linked_physical_chain_com_MED1_q90_nm,DNA_linked_block_com_all_count,DNA_linked_block_com_all_total_weight,DNA_linked_block_com_all_mean_nm,DNA_linked_block_com_all_q90_nm,DNA_linked_block_com_OCT4_count,DNA_linked_block_com_OCT4_total_weight,DNA_linked_block_com_OCT4_mean_nm,DNA_linked_block_com_OCT4_q90_nm,DNA_linked_block_com_MED1_count,DNA_linked_block_com_MED1_total_weight,DNA_linked_block_com_MED1_mean_nm,DNA_linked_block_com_MED1_q90_nm
M10O90,work,1001,1.001,100,72.0,0.0145454545454545,1.44,0.14,0.28,3.8,1.1777777777777778,130,8325.0,88.0,0.0105705705705705,1.353846153846154,0.1461538461538461,118,30,0.2,0.205849408836341,46.11491391827422,49.73434535104364,112.96604938271604,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1101,1.101,100,51.0,0.0103030303030303,1.02,0.12,0.37,2.0,0.9111111111111112,130,8325.0,59.0,0.007087087087087,0.9076923076923076,0.0769230769230769,89,30,0.1615384615384615,0.165588052271313,31.02260941713337,34.7944339025933,75.3425925925926,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1201,1.201,100,54.0,0.0109090909090909,1.08,0.07,0.34,2.4,0.9333333333333332,130,8325.0,63.0,0.0075675675675675,0.9692307692307692,0.0538461538461538,93,30,0.0846153846153846,0.0879900435594275,39.96681186475835,46.8437697659709,96.08024691358024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1301,1.301,100,67.0,0.0135353535353535,1.34,0.15,0.25,3.6,1.0888888888888888,130,8325.0,75.0,0.009009009009009,1.1538461538461535,0.0846153846153846,105,30,0.2076923076923077,0.2133167392657125,55.43248288736777,58.40607210626186,136.46296296296296,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1401,1.401,100,64.0,0.0129292929292929,1.28,0.18,0.31,2.7,1.1222222222222222,130,8325.0,72.0,0.0086486486486486,1.1076923076923078,0.1076923076923077,102,30,0.2076923076923077,0.210392034847542,42.47044181705041,53.96584440227704,100.05555555555556,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1501,1.501,100,54.0,0.0109090909090909,1.08,0.16,0.44,2.5,0.9222222222222224,130,8325.0,64.0,0.0076876876876876,0.9846153846153848,0.0923076923076923,94,30,0.2153846153846154,0.220784069695084,32.5948973242066,51.018342820999365,72.10493827160494,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1601,1.601,100,60.0,0.0121212121212121,1.2,0.13,0.26,2.6,1.0444444444444445,130,8325.0,73.0,0.0087687687687687,1.123076923076923,0.0846153846153846,103,30,0.1461538461538461,0.1477286869943995,45.11926986102469,51.42947501581278,109.17592592592592,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1701,1.701,100,64.0,0.0129292929292929,1.28,0.13,0.27,2.8,1.1111111111111112,130,8325.0,72.0,0.0086486486486486,1.1076923076923078,0.0769230769230769,102,30,0.1692307692307692,0.1730553827006845,43.32088778261772,50.65781151170145,104.20061728395062,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1801,1.801,100,53.0,0.0107070707070707,1.06,0.16,0.39,3.1,0.8333333333333334,130,8325.0,66.0,0.0079279279279279,1.015384615384615,0.0692307692307692,96,30,0.2153846153846154,0.220784069695084,43.62787803360299,57.49525616698292,101.77777777777776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,1901,1.901,100,61.0,0.0123232323232323,1.22,0.1,0.3,3.0,1.022222222222222,130,8325.0,70.0,0.0084084084084084,1.0769230769230769,0.0538461538461538,100,30,0.123076923076923,0.125326695706285,50.38166355527899,54.73118279569893,123.2253086419753,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
