system,replicate,parent_n_nodes,parent_n_edges,parent_edge_density,parent_mean_partner_number,parent_largest_component_fraction,parent_free_chain_fraction,MED1_parent_mean_partner_number,OCT4_parent_mean_partner_number,block_n_nodes,block_n_eligible_external_pairs,block_n_edges,block_edge_density,block_mean_partner_number,block_largest_component_fraction,continuity_block_n_edges,continuity_block_n_covalent_edges,continuity_block_largest_component_fraction,continuity_block_residue_LCC_fraction,cross_parent_residue_contacts_per_100_residues,MED1_cross_parent_contact_incidences_per_100_residues,OCT4_cross_parent_contact_incidences_per_100_residues,n_sibling_MED1_fragment_edges_excluded,n_sibling_MED1_residue_pairs_excluded,DNA_direct_MED1_parent_count,DNA_direct_OCT4_parent_count,DNA_linked_physical_fraction,DNA_direct_physical_fraction,DNA_second_physical_fraction,DNA_third_plus_physical_fraction,DNA_linked_residue_fraction,DNA_direct_residue_fraction,DNA_second_residue_fraction,DNA_third_plus_residue_fraction,DNA_linked_parent_fraction,DNA_direct_parent_fraction,DNA_second_parent_fraction,DNA_third_plus_parent_fraction,DNA_linked_bead_all_count,DNA_linked_bead_all_total_weight,DNA_linked_bead_all_mean_nm,DNA_linked_bead_all_q90_nm,DNA_linked_bead_OCT4_count,DNA_linked_bead_OCT4_total_weight,DNA_linked_bead_OCT4_mean_nm,DNA_linked_bead_OCT4_q90_nm,DNA_linked_bead_MED1_count,DNA_linked_bead_MED1_total_weight,DNA_linked_bead_MED1_mean_nm,DNA_linked_bead_MED1_q90_nm,DNA_linked_parent_weighted_bead_all_count,DNA_linked_parent_weighted_bead_all_total_weight,DNA_linked_parent_weighted_bead_all_mean_nm,DNA_linked_parent_weighted_bead_all_q90_nm,DNA_linked_parent_weighted_bead_OCT4_count,DNA_linked_parent_weighted_bead_OCT4_total_weight,DNA_linked_parent_weighted_bead_OCT4_mean_nm,DNA_linked_parent_weighted_bead_OCT4_q90_nm,DNA_linked_parent_weighted_bead_MED1_count,DNA_linked_parent_weighted_bead_MED1_total_weight,DNA_linked_parent_weighted_bead_MED1_mean_nm,DNA_linked_parent_weighted_bead_MED1_q90_nm,DNA_linked_physical_chain_com_all_count,DNA_linked_physical_chain_com_all_total_weight,DNA_linked_physical_chain_com_all_mean_nm,DNA_linked_physical_chain_com_all_q90_nm,DNA_linked_physical_chain_com_OCT4_count,DNA_linked_physical_chain_com_OCT4_total_weight,DNA_linked_physical_chain_com_OCT4_mean_nm,DNA_linked_physical_chain_com_OCT4_q90_nm,DNA_linked_physical_chain_com_MED1_count,DNA_linked_physical_chain_com_MED1_total_weight,DNA_linked_physical_chain_com_MED1_mean_nm,DNA_linked_physical_chain_com_MED1_q90_nm,DNA_linked_block_com_all_count,DNA_linked_block_com_all_total_weight,DNA_linked_block_com_all_mean_nm,DNA_linked_block_com_all_q90_nm,DNA_linked_block_com_OCT4_count,DNA_linked_block_com_OCT4_total_weight,DNA_linked_block_com_OCT4_mean_nm,DNA_linked_block_com_OCT4_q90_nm,DNA_linked_block_com_MED1_count,DNA_linked_block_com_MED1_total_weight,DNA_linked_block_com_MED1_mean_nm,DNA_linked_block_com_MED1_q90_nm
M0O100D1,work,100.0,155.825,0.03147979797979794,3.1165,0.47874999999999995,0.25225,,3.1165,100.0,4950.0,155.825,0.03147979797979794,3.1165,0.47874999999999995,155.825,0.0,0.47874999999999995,0.47874999999999995,92.04319444444444,,184.08638888888888,0.0,0.0,0.0,37.4,0.47874999999999995,0.374,0.08175,0.023,0.47874999999999995,0.374,0.08175,0.023,0.47874999999999995,0.374,0.08175,0.023,17235.0,17235.0,5.903187550797818,12.65936610086909,17235.0,17235.0,5.903187550797818,12.65936610086909,0.0,0.0,,,17235.0,47.875,5.903187550797819,12.6619897535282,17235.0,47.875,5.903187550797819,12.6619897535282,0.0,0.0,,,47.875,47.875,4.519603994439576,11.635274632734685,47.875,47.875,4.519603994439576,11.635274632734685,0.0,0.0,,,47.875,47.875,4.519603994439576,11.635274632734685,47.875,47.875,4.519603994439576,11.635274632734685,0.0,0.0,,
M0O100D1,work-1,100.0,155.925,0.03149999999999996,3.1185,0.4845,0.2655,,3.1185,100.0,4950.0,155.925,0.03149999999999996,3.1185,0.4845,155.925,0.0,0.4845,0.4845,93.91875,,187.8375,0.0,0.0,0.0,37.8,0.4845,0.378,0.08525,0.021249999999999998,0.4845,0.378,0.08525,0.021249999999999998,0.4845,0.378,0.08525,0.021249999999999998,17442.0,17442.0,5.916975480928546,12.565418349191537,17442.0,17442.0,5.916975480928546,12.565418349191537,0.0,0.0,,,17442.0,48.45,5.916975480928547,12.567394979873,17442.0,48.45,5.916975480928547,12.567394979873,0.0,0.0,,,48.45,48.45,4.566217117888998,11.80489685182708,48.45,48.45,4.566217117888998,11.80489685182708,0.0,0.0,,,48.45,48.45,4.566217117888998,11.80489685182708,48.45,48.45,4.566217117888998,11.80489685182708,0.0,0.0,,
M0O100D1,work-2,100.0,148.425,0.02998484848484843,2.9684999999999997,0.47800000000000004,0.24975,,2.9684999999999997,100.0,4950.0,148.425,0.02998484848484843,2.9684999999999997,0.47800000000000004,148.425,0.0,0.47800000000000004,0.47800000000000004,92.41152777777778,,184.82305555555556,0.0,0.0,0.0,36.625,0.47800000000000004,0.36625,0.08125,0.0305,0.47800000000000004,0.36625,0.08125,0.0305,0.47800000000000004,0.36625,0.08125,0.0305,17208.0,17208.0,6.206650801962117,13.536237312186111,17208.0,17208.0,6.206650801962117,13.536237312186111,0.0,0.0,,,17208.0,47.8,6.206650801962118,13.538663233451256,17208.0,47.8,6.206650801962118,13.538663233451256,0.0,0.0,,,47.8,47.8,4.877556614124577,12.58896145797765,47.8,47.8,4.877556614124577,12.58896145797765,0.0,0.0,,,47.8,47.8,4.877556614124577,12.58896145797765,47.8,47.8,4.877556614124577,12.58896145797765,0.0,0.0,,
M10O90,work,100.0,62.65,0.012656565656565626,1.253,0.16775,0.3245,2.965,1.0627777777777778,130.0,8325.0,72.0,0.008648648648648595,1.1076923076923078,0.09211538461538459,102.0,30.0,0.21346153846153845,0.2182591785936528,42.03598838415267,46.81546489563567,102.25177469135802,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work-1,100.0,61.7,0.012464646464646435,1.234,0.15625,0.315,2.825,1.057222222222222,130.0,8325.0,70.2,0.008432432432432385,1.08,0.09096153846153844,100.2,30.0,0.1967307692307692,0.20092097075295579,41.85827629122589,45.97659709044908,102.13225308641975,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work-2,100.0,61.325,0.012388888888888857,1.2265000000000001,0.14825,0.3185,2.875,1.0433333333333334,130.0,8325.0,70.6,0.008480480480480432,1.0861538461538462,0.08769230769230767,100.6,30.0,0.19365384615384612,0.19837274424393278,42.70960381663555,47.306451612903224,104.01682098765431,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S2,work,100.0,67.975,0.013732323232323197,1.3595000000000002,0.22825,0.29375,3.3299999999999996,1.1405555555555555,130.0,8325.0,75.775,0.009102102102102055,1.165769230769231,0.08615384615384612,95.775,20.0,0.12423076923076921,0.12590541381456127,45.046618958722256,51.17172675521822,109.08549382716049,0.125,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S2,work-1,100.0,68.675,0.013873737373737335,1.3735,0.20950000000000002,0.28650000000000003,3.3549999999999995,1.1533333333333333,130.0,8325.0,76.275,0.009162162162162108,1.1734615384615386,0.0894230769230769,96.275,20.0,0.11730769230769227,0.11855476042314869,44.00337066998548,47.8336495888678,107.60972222222222,0.225,30.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S2,work-2,100.0,66.675,0.013469696969696932,1.3335000000000001,0.21425,0.30474999999999997,3.435,1.1,130.0,8325.0,74.325,0.008927927927927872,1.1434615384615383,0.08115384615384612,94.325,20.0,0.1092307692307692,0.11061916614810204,44.4941402198714,49.839342188488295,108.091512345679,0.275,36.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S4,work,100.0,76.375,0.015429292929292876,1.5275,0.27925,0.27749999999999997,4.2575,1.2241666666666666,130.0,8325.0,87.95,0.010564564564564515,1.353076923076923,0.09365384615384613,87.95,0.0,0.09365384615384613,0.09541433312590744,57.30911636589919,92.42141049968374,125.44945987654322,9.6,5663.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
