metric,Full_minus_Split_4_without_DNA_mean,Full_minus_Split_4_with_DNA_mean,difference_in_differences_mean,Full_minus_Split_4_without_DNA_sd,Full_minus_Split_4_with_DNA_sd,difference_in_differences_sd,Full_minus_Split_4_without_DNA_n,Full_minus_Split_4_with_DNA_n,difference_in_differences_n
MED1_cross_parent_contact_incidences_per_100_residues,-47.65702087286528,-48.662449926207046,-1.0054290533417618,8.371129501870369,14.537255647911158,14.239156788168383,3,3,3
OCT4_cross_parent_contact_incidences_per_100_residues,-19.138914609053504,-10.237139917695467,8.901774691358037,6.620409703369825,7.585436377401853,11.158044223444662,3,3,3
block_edge_density,-0.0019769769769769764,-0.002130130130130132,-0.00015315315315315588,0.00035085477772295824,0.0003317106478179529,0.0003383013170450977,3,3,3
block_mean_partner_number,-0.25320512820512814,-0.27282051282051273,-0.01961538461538459,0.044936400377594464,0.042484479124374495,0.04332859176000667,3,3,3
continuity_block_residue_LCC_fraction,0.1031883080965222,0.12356150176311971,0.02037319366659751,0.017126279924991182,0.021772857810850012,0.009805160951221607,3,3,3
cross_parent_residue_contacts_per_100_residues,-14.245574915301113,-11.419173062296892,2.8264018530042208,3.347027649616564,3.875276836905405,4.812887713331973,3,3,3
n_sibling_MED1_fragment_edges_excluded,-10.1,-9.658333333333333,0.44166666666666704,0.4358898943540685,0.7666213754737946,0.4823985212802103,3,3,3
n_sibling_MED1_residue_pairs_excluded,-5923.108333333334,-5739.3,183.80833333333308,239.90338854074855,265.13577535858855,109.6874375593367,3,3,3
parent_edge_density,-0.0026363636363636155,-0.003090909090909099,-0.0004545454545454835,0.0003751338910042363,8.747731351365835e-06,0.0003837054527923775,3,3,3
parent_mean_partner_number,-0.26099999999999995,-0.3059999999999999,-0.04499999999999993,0.0371382552094199,0.0008660254037840949,0.03798683982644483,3,3,3
