replicate,metric,Full_minus_Split_4_without_DNA,Full_minus_Split_4_with_DNA,difference_in_differences
work,continuity_block_residue_LCC_fraction,0.12284484546774535,0.14725420037336656,0.02440935490562121
work-1,continuity_block_residue_LCC_fraction,0.09148257622899816,0.11899865173200586,0.027516075503007692
work-2,continuity_block_residue_LCC_fraction,0.0952375025928231,0.10443165318398673,0.00919415059116363
work,parent_mean_partner_number,-0.2745000000000002,-0.3054999999999999,-0.030999999999999694
work-1,parent_mean_partner_number,-0.28949999999999987,-0.3055000000000003,-0.01600000000000046
work-2,parent_mean_partner_number,-0.21899999999999986,-0.3069999999999995,-0.08799999999999963
work,parent_edge_density,-0.0027727272727272496,-0.0030858585858585842,-0.0003131313131313346
work-1,parent_edge_density,-0.0029242424242424004,-0.0030858585858585946,-0.00016161616161619423
work-2,parent_edge_density,-0.0022121212121211965,-0.003101010101010118,-0.0008888888888889217
work,block_mean_partner_number,-0.2453846153846153,-0.31076923076923046,-0.06538461538461515
work-1,block_mean_partner_number,-0.30153846153846153,-0.28076923076923066,0.020769230769230873
work-2,block_mean_partner_number,-0.21269230769230751,-0.226923076923077,-0.014230769230769491
work,block_edge_density,-0.0019159159159159202,-0.002426426426426438,-0.000510510510510518
work-1,block_edge_density,-0.002354354354354351,-0.0021921921921921987,0.00016216216216215218
work-2,block_edge_density,-0.0016606606606606577,-0.0017717717717717595,-0.00011111111111110177
work,cross_parent_residue_contacts_per_100_residues,-15.273127981746526,-15.84303049159925,-0.5699025098527244
work-1,cross_parent_residue_contacts_per_100_residues,-16.958359261563984,-8.624248081310924,8.33411118025306
work-2,cross_parent_residue_contacts_per_100_residues,-10.505237502592827,-9.790240613980501,0.7149968886123261
work,MED1_cross_parent_contact_incidences_per_100_residues,-45.605945604048074,-63.03510436432638,-17.429158760278305
work-1,MED1_cross_parent_contact_incidences_per_100_residues,-56.86306135357369,-48.98624288425047,7.876818469323219
work-2,MED1_cross_parent_contact_incidences_per_100_residues,-40.50205566097407,-33.96600253004427,6.536053130929801
work,OCT4_cross_parent_contact_incidences_per_100_residues,-23.197685185185193,-16.388888888888886,6.808796296296308
work-1,OCT4_cross_parent_contact_incidences_per_100_residues,-22.719753086419757,-1.7616512345678927,20.958101851851865
work-2,OCT4_cross_parent_contact_incidences_per_100_residues,-11.499305555555566,-12.560879629629625,-1.0615740740740591
work,n_sibling_MED1_fragment_edges_excluded,-9.6,-9.0,0.5999999999999996
work-1,n_sibling_MED1_fragment_edges_excluded,-10.3,-9.475,0.8250000000000011
work-2,n_sibling_MED1_fragment_edges_excluded,-10.4,-10.5,-0.09999999999999964
work,n_sibling_MED1_residue_pairs_excluded,-5663.725,-5433.85,229.875
work-1,n_sibling_MED1_residue_pairs_excluded,-5968.575,-5909.975,58.599999999999454
work-2,n_sibling_MED1_residue_pairs_excluded,-6137.025,-5874.075,262.9499999999998
