DNA_condition,replicate,metric,Full,Split_2,Split_4,Full_minus_Split_2,Full_minus_Split_4
−DNA,work,continuity_block_residue_LCC_fraction,0.2182591785936528,0.12590541381456127,0.09541433312590744,0.09235376477909152,0.12284484546774535
−DNA,work,parent_mean_partner_number,1.253,1.3595000000000002,1.5275,-0.10650000000000026,-0.2745000000000002
−DNA,work,parent_edge_density,0.012656565656565626,0.013732323232323197,0.015429292929292876,-0.0010757575757575702,-0.0027727272727272496
−DNA,work,block_mean_partner_number,1.1076923076923078,1.165769230769231,1.353076923076923,-0.05807692307692314,-0.2453846153846153
−DNA,work,block_edge_density,0.008648648648648595,0.009102102102102055,0.010564564564564515,-0.00045345345345346004,-0.0019159159159159202
−DNA,work,cross_parent_residue_contacts_per_100_residues,42.03598838415267,45.046618958722256,57.30911636589919,-3.010630574569589,-15.273127981746526
−DNA,work,MED1_cross_parent_contact_incidences_per_100_residues,46.81546489563567,51.17172675521822,92.42141049968374,-4.3562618595825455,-45.605945604048074
−DNA,work,OCT4_cross_parent_contact_incidences_per_100_residues,102.25177469135802,109.08549382716049,125.44945987654322,-6.833719135802468,-23.197685185185193
−DNA,work,n_sibling_MED1_fragment_edges_excluded,0.0,0.125,9.6,-0.125,-9.6
−DNA,work,n_sibling_MED1_residue_pairs_excluded,0.0,23.2,5663.725,-23.2,-5663.725
−DNA,work-1,continuity_block_residue_LCC_fraction,0.20092097075295579,0.11855476042314869,0.10943839452395762,0.0823662103298071,0.09148257622899816
−DNA,work-1,parent_mean_partner_number,1.234,1.3735,1.5234999999999999,-0.13949999999999996,-0.28949999999999987
−DNA,work-1,parent_edge_density,0.012464646464646435,0.013873737373737335,0.015388888888888836,-0.0014090909090908998,-0.0029242424242424004
−DNA,work-1,block_mean_partner_number,1.08,1.1734615384615386,1.3815384615384616,-0.09346153846153848,-0.30153846153846153
−DNA,work-1,block_edge_density,0.008432432432432385,0.009162162162162108,0.010786786786786736,-0.000729729729729723,-0.002354354354354351
−DNA,work-1,cross_parent_residue_contacts_per_100_residues,41.85827629122589,44.00337066998548,58.816635552789876,-2.1450943787595875,-16.958359261563984
−DNA,work-1,MED1_cross_parent_contact_incidences_per_100_residues,45.97659709044908,47.8336495888678,102.83965844402277,-1.8570524984187173,-56.86306135357369
−DNA,work-1,OCT4_cross_parent_contact_incidences_per_100_residues,102.13225308641975,107.60972222222222,124.85200617283951,-5.477469135802465,-22.719753086419757
−DNA,work-1,n_sibling_MED1_fragment_edges_excluded,0.0,0.225,10.3,-0.225,-10.3
−DNA,work-1,n_sibling_MED1_residue_pairs_excluded,0.0,30.875,5968.575,-30.875,-5968.575
