replicate,metric,Full,Split_2,Split_2_minus_Full
work,direct_DNA_OCT4_n,31.295,32.925,1.6299999999999955
work,direct_DNA_OCT4_fraction,0.3477222222222222,0.3658333333333333,0.018111111111111078
work,direct_OO_pair_count,106.535,115.69,9.155000000000001
work,physical_strict_OMO_pair_count,91.3975,36.865,-54.53249999999999
work,physical_strict_OMO_triple_count,94.01,38.2275,-55.782500000000006
work,physical_DNA_bound_pair_count,43.2325,22.25,-20.9825
work,physical_DNA_bound_triple_count,45.295,23.2675,-22.027500000000003
work,physical_DNA_bound_pair_fraction_of_bridges,0.47830805289492895,0.5981610785277218,0.11985302563279288
work,physical_DNA_bound_pair_fraction_of_bound_O_pairs,0.09305917507115773,0.04917595223147225,-0.04388322283968547
work,physical_bridged_DNA_bound_OCT4_n,21.305,13.69,-7.615
work,physical_DNA_bound_pair_minsep_mean_bp,20.723386357932988,16.816424457842373,-3.9069619000906144
work,physical_DNA_bound_pair_minsep_median_bp,16.98375,14.97110552763819,-2.01264447236181
work,physical_DNA_bound_pair_centersep_mean_bp,34.81748235305046,31.238369102598305,-3.579113250452153
work,physical_DNA_bound_different_20bp_window_pair_count,30.62,14.8175,-15.8025
work,physical_DNA_bound_minsep_ge_10bp_pair_count,30.7575,15.185,-15.5725
work,physical_DNA_bound_minsep_ge_10bp_pair_fraction,0.6947396841206539,0.6369840271020616,-0.05775565701859231
work,physical_DNA_bound_minsep_ge_20bp_pair_count,18.9625,8.5875,-10.374999999999998
work,physical_DNA_bound_minsep_ge_20bp_pair_fraction,0.41084027942107837,0.328600731238275,-0.08223954818280338
work,physical_DNA_bound_minsep_ge_40bp_pair_count,6.6525,2.11,-4.5425
work,physical_DNA_bound_minsep_ge_40bp_pair_fraction,0.13257138728028403,0.07127336970865558,-0.06129801757162845
work,parent_strict_OMO_pair_count,91.3975,60.4975,-30.89999999999999
work,parent_strict_OMO_triple_count,94.01,62.025,-31.985000000000007
work,parent_DNA_bound_pair_count,43.2325,25.1775,-18.055000000000003
work,parent_DNA_bound_triple_count,45.295,26.2375,-19.0575
work,parent_DNA_bound_pair_fraction_of_bridges,0.47830805289492895,0.4004607740405352,-0.07784727885439374
work,parent_DNA_bound_pair_fraction_of_bound_O_pairs,0.09305917507115773,0.05814918154261622,-0.03490999352854151
work,parent_bridged_DNA_bound_OCT4_n,21.305,13.9775,-7.327500000000001
work,parent_DNA_bound_pair_minsep_mean_bp,20.723386357932988,19.787098796272932,-0.9362875616600554
work,parent_DNA_bound_pair_minsep_median_bp,16.98375,17.0464824120603,0.06273241206029923
work,parent_DNA_bound_pair_centersep_mean_bp,34.81748235305046,34.19829479847088,-0.6191875545795753
work,parent_DNA_bound_different_20bp_window_pair_count,30.62,17.62,-13.0
work,parent_DNA_bound_minsep_ge_10bp_pair_count,30.7575,18.0025,-12.754999999999999
work,parent_DNA_bound_minsep_ge_10bp_pair_fraction,0.6947396841206539,0.6577003712882733,-0.0370393128323806
work,parent_DNA_bound_minsep_ge_20bp_pair_count,18.9625,11.2025,-7.759999999999998
work,parent_DNA_bound_minsep_ge_20bp_pair_fraction,0.41084027942107837,0.3651307644115672,-0.04570951500951115
work,parent_DNA_bound_minsep_ge_40bp_pair_count,6.6525,4.1125,-2.54
work,parent_DNA_bound_minsep_ge_40bp_pair_fraction,0.13257138728028403,0.11335743042317485,-0.01921395685710918
work-1,direct_DNA_OCT4_n,31.1475,29.4075,-1.740000000000002
work-1,direct_DNA_OCT4_fraction,0.3460833333333333,0.32675,-0.019333333333333313
work-1,direct_OO_pair_count,104.82,99.865,-4.954999999999998
work-1,physical_strict_OMO_pair_count,85.605,51.69,-33.915000000000006
work-1,physical_strict_OMO_triple_count,87.4875,56.2175,-31.269999999999996
work-1,physical_DNA_bound_pair_count,44.6925,31.0575,-13.635000000000002
work-1,physical_DNA_bound_triple_count,46.1375,34.745,-11.392500000000005
work-1,physical_DNA_bound_pair_fraction_of_bridges,0.5249381358484217,0.6087041175382545,0.08376598168983274
work-1,physical_DNA_bound_pair_fraction_of_bound_O_pairs,0.09670481258888718,0.07725899102457612,-0.019445821564311058
work-1,physical_bridged_DNA_bound_OCT4_n,20.1575,18.2175,-1.9399999999999977
