task_id,system,replicate,tier,series_tags,n_med1,n_oct4,n_dna,med1_fragments,box_nm,coord_seed,seed,total_steps,output_interval,parent_task,coordinate_source,path,available,timestep_fs,output_spacing_ns,duration_us,analysis_included,inclusion_basis
work/M0O100,M0O100,work,core,"composition_core,dna_addition",0,100,0,1,75.0,2026080201,2026081101,500000000,100000,,random_insertion,simulation/tasks/work/M0O100,True,10.0,1.0,5.0,True,standard
work/M5O95,M5O95,work,core,composition_core,5,95,0,1,79.020236,2026080202,2026081102,500000000,100000,,random_insertion,simulation/tasks/work/M5O95,True,10.0,1.0,5.0,True,standard
work/M10O90,M10O90,work,core,"composition_core,dna_addition,chain_length",10,90,0,1,82.668389,2026080203,2026081103,500000000,100000,,random_insertion,simulation/tasks/work/M10O90,True,10.0,1.0,5.0,True,standard
work/M15O85,M15O85,work,core,composition_core,15,85,0,1,86.020182,2026080204,2026081104,500000000,100000,,random_insertion,simulation/tasks/work/M15O85,True,10.0,1.0,5.0,True,standard
work/M20O80,M20O80,work,core,"composition_core,dna_addition",20,80,0,1,89.129336,2026080205,2026081105,500000000,100000,,random_insertion,simulation/tasks/work/M20O80,True,10.0,1.0,5.0,True,standard
work/M30O70,M30O70,work,core,composition_core,30,70,0,1,94.768887,2026080206,2026081106,500000000,100000,,random_insertion,simulation/tasks/work/M30O70,True,10.0,1.0,5.0,True,standard
work/M0O100D1,M0O100D1,work,core,dna_addition,0,100,1,1,75.0,2026130201,2026081101,500000000,100000,work/M0O100,added_DNA_to:work/M0O100,simulation/tasks/work/M0O100D1,True,10.0,1.0,5.0,True,standard
work/M10O90D1,M10O90D1,work,core,"dna_addition,chain_length",10,90,1,1,82.668389,2026130203,2026081103,500000000,100000,work/M10O90,added_DNA_to:work/M10O90,simulation/tasks/work/M10O90D1,True,10.0,1.0,5.0,True,standard
work/M20O80D1,M20O80D1,work,core,dna_addition,20,80,1,1,89.129336,2026130205,2026081105,500000000,100000,work/M20O80,added_DNA_to:work/M20O80,simulation/tasks/work/M20O80D1,True,10.0,1.0,5.0,True,standard
work/M50O0,M50O0,work,core,"pure_med1,dna_addition",50,0,0,1,75.0,2026080207,2026081107,500000000,100000,,random_insertion,simulation/tasks/work/M50O0,True,10.0,1.0,5.0,True,standard
work/M50O0D1,M50O0D1,work,core,"dna_addition,pure_med1",50,0,1,1,75.0,2026130207,2026081107,500000000,100000,work/M50O0,added_DNA_to:work/M50O0,simulation/tasks/work/M50O0D1,True,10.0,1.0,5.0,True,standard
work/M10O90-S2,M10O90-S2,work,core,chain_length,10,90,0,2,82.668389,2026080203,2026081103,500000000,100000,work/M10O90,exact_copy_of:work/M10O90,simulation/tasks/work/M10O90-S2,True,10.0,1.0,5.0,True,standard
work/M10O90D1-S2,M10O90D1-S2,work,core,chain_length,10,90,1,2,82.668389,2026130203,2026081103,500000000,100000,work/M10O90D1,exact_copy_of:work/M10O90D1,simulation/tasks/work/M10O90D1-S2,True,10.0,1.0,5.0,True,standard
work/M10O90-S4,M10O90-S4,work,core,chain_length,10,90,0,4,82.668389,2026080203,2026081103,500000000,100000,work/M10O90,exact_copy_of:work/M10O90,simulation/tasks/work/M10O90-S4,True,10.0,1.0,5.0,True,standard
