series	comparison	condition	system	tier
fixed_residue_composition	core	M0O100	M0O100	core
fixed_residue_composition	core	M5O95	M5O95	core
fixed_residue_composition	core	M10O90	M10O90	core
fixed_residue_composition	core	M15O85	M15O85	core
fixed_residue_composition	core	M20O80	M20O80	core
fixed_residue_composition	core	M30O70	M30O70	core
fixed_residue_composition	optional	M25O75	M25O75	optional
fixed_residue_composition	optional	M50O50	M50O50	optional
dna_addition	M0O100_DNA_addition	D0	M0O100	core
dna_addition	M0O100_DNA_addition	+D1	M0O100D1	core
dna_addition	M10O90_DNA_addition	D0	M10O90	core
dna_addition	M10O90_DNA_addition	+D1	M10O90D1	core
dna_addition	M20O80_DNA_addition	D0	M20O80	core
dna_addition	M20O80_DNA_addition	+D1	M20O80D1	core
dna_addition	M50O0_DNA_addition	D0	M50O0	core
dna_addition	M50O0_DNA_addition	+D1	M50O0D1	core
med1_chain_length	M10O90_D0_chain_length	Full	M10O90	core
med1_chain_length	M10O90_D0_chain_length	Split-2	M10O90-S2	core
med1_chain_length	M10O90_D0_chain_length	Split-4	M10O90-S4	core
med1_chain_length	M10O90_D1_chain_length	Full	M10O90D1	core
med1_chain_length	M10O90_D1_chain_length	Split-2	M10O90D1-S2	core
med1_chain_length	M10O90_D1_chain_length	Split-4	M10O90D1-S4	core
