task_id	system	replicate	openmm_version	openabc_version	timestep_fs	total_steps	output_interval	start_pdb_sha256	system_xml_sha256
work/M0O100	M0O100	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	63eb58eed9e312f3946dce3c7b32c9d51027a7a1393ae374ed92c5a1375c6e0d	eb3461c076353da06e51d3ac92345eb0b53e0817006f0dde82459c80b210f0e5
work/M0O100D1	M0O100D1	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	287df1d1d6cf13cbe701abc0945d7c26964a0b7888338bdd4ec39e19bbbb971a	7d1ea0221b7f4318e903c164d44e0d552669109bb5f9a400722eeb92af7b60b1
work/M10O90	M10O90	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	bfe0f087e34a594f8a69d7652bb2654a5797669c2d375a11a02a5d0422652bd1	5820c713c45de47e81714b9eb87175183b5d5aa859e223ecbb1f66b3c3a344e6
work/M10O90-S2	M10O90-S2	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	bfe0f087e34a594f8a69d7652bb2654a5797669c2d375a11a02a5d0422652bd1	83765da5f1adb6b73f2375d34a3a8dc98e73958f4de6a00116057e167782fcb3
work/M10O90-S4	M10O90-S4	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	bfe0f087e34a594f8a69d7652bb2654a5797669c2d375a11a02a5d0422652bd1	5a624ba76fa0b289b2d00ca167be66f4879682a0e6e2d3a239f36f1640b6361d
work/M10O90D1	M10O90D1	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	75084bf6c0ebd96e1adc7e633a79f66b757854bafb6535409a4704c733c0f54a	7edfb5b4d904271693c90da3146f94685e5af717fdbd30c422e720a5265d8ffc
work/M10O90D1-S2	M10O90D1-S2	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	75084bf6c0ebd96e1adc7e633a79f66b757854bafb6535409a4704c733c0f54a	31060e7e5f51dae11cfb9f46a99c93d34871d2e34eea578238a90c35818a16be
work/M10O90D1-S4	M10O90D1-S4	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	75084bf6c0ebd96e1adc7e633a79f66b757854bafb6535409a4704c733c0f54a	9b8dc402eb0783da844107e132c86915b414cba38f83bda95adfa1051a115606
work/M15O85	M15O85	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	14d364a29afe016db0f487e1d62beaa7612aaa41e6587462f8df8372c192671d	812cf097df0f493bd89084019ed9f56ff60abcff449bc5d9a97b33b061f8f525
work/M20O80	M20O80	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	807be4b37d6a0fdf29bea6cd437d90afb426aa61f1dc4641436f8feb522919b7	b96d709d3417d6a6c79fef9284ee470b0ba629e26aea02b2f9c6d99ae067cc75
work/M20O80D1	M20O80D1	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	9bff7f7674744f11d8075b4fb2f5041c0f9f321efed781ab87e08af147943584	1d91e0db0453b3d712cc08a74f0d8ef32a1f6e58b3bea2c69740f7256aa43d35
work/M25O75	M25O75	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	4dee4804c2f5949bfaf4f3bb108fd5f60d315cbe46177fe9411a797a6de939c7	c7fb94a9975878775df92882c826d8126913e9dd2480b33e219e4c0f0ab1e183
work/M30O70	M30O70	work	8.3.1.dev-6e13f13	1.0.7	10.0	500000000	100000	bff643dfbb987182ec29ec26a655fda314976d1ce75472c62c00ce3ca628edec	a5ae902bddc16abb7e03991c87355888664e12c7042734f14189c3c89058f978
