molecule_id	molecule_type	parent_med1	fragment	particle_start	particle_stop_exclusive	residue_start	residue_stop_inclusive
MED1_001_F1	MED1	1	1	0	807	1	807
MED1_001_F2	MED1	1	2	807	1581	808	1581
MED1_002_F1	MED1	2	1	1581	2388	1	807
MED1_002_F2	MED1	2	2	2388	3162	808	1581
MED1_003_F1	MED1	3	1	3162	3969	1	807
MED1_003_F2	MED1	3	2	3969	4743	808	1581
MED1_004_F1	MED1	4	1	4743	5550	1	807
MED1_004_F2	MED1	4	2	5550	6324	808	1581
MED1_005_F1	MED1	5	1	6324	7131	1	807
MED1_005_F2	MED1	5	2	7131	7905	808	1581
MED1_006_F1	MED1	6	1	7905	8712	1	807
MED1_006_F2	MED1	6	2	8712	9486	808	1581
MED1_007_F1	MED1	7	1	9486	10293	1	807
MED1_007_F2	MED1	7	2	10293	11067	808	1581
MED1_008_F1	MED1	8	1	11067	11874	1	807
MED1_008_F2	MED1	8	2	11874	12648	808	1581
MED1_009_F1	MED1	9	1	12648	13455	1	807
MED1_009_F2	MED1	9	2	13455	14229	808	1581
MED1_010_F1	MED1	10	1	14229	15036	1	807
MED1_010_F2	MED1	10	2	15036	15810	808	1581
OCT4_001	OCT4		1	15810	16170	1	360
OCT4_002	OCT4		1	16170	16530	1	360
OCT4_003	OCT4		1	16530	16890	1	360
OCT4_004	OCT4		1	16890	17250	1	360
OCT4_005	OCT4		1	17250	17610	1	360
OCT4_006	OCT4		1	17610	17970	1	360
OCT4_007	OCT4		1	17970	18330	1	360
OCT4_008	OCT4		1	18330	18690	1	360
OCT4_009	OCT4		1	18690	19050	1	360
OCT4_010	OCT4		1	19050	19410	1	360
OCT4_011	OCT4		1	19410	19770	1	360
OCT4_012	OCT4		1	19770	20130	1	360
OCT4_013	OCT4		1	20130	20490	1	360
OCT4_014	OCT4		1	20490	20850	1	360
OCT4_015	OCT4		1	20850	21210	1	360
OCT4_016	OCT4		1	21210	21570	1	360
OCT4_017	OCT4		1	21570	21930	1	360
OCT4_018	OCT4		1	21930	22290	1	360
OCT4_019	OCT4		1	22290	22650	1	360
OCT4_020	OCT4		1	22650	23010	1	360
OCT4_021	OCT4		1	23010	23370	1	360
OCT4_022	OCT4		1	23370	23730	1	360
OCT4_023	OCT4		1	23730	24090	1	360
OCT4_024	OCT4		1	24090	24450	1	360
OCT4_025	OCT4		1	24450	24810	1	360
OCT4_026	OCT4		1	24810	25170	1	360
OCT4_027	OCT4		1	25170	25530	1	360
OCT4_028	OCT4		1	25530	25890	1	360
OCT4_029	OCT4		1	25890	26250	1	360
OCT4_030	OCT4		1	26250	26610	1	360
OCT4_031	OCT4		1	26610	26970	1	360
OCT4_032	OCT4		1	26970	27330	1	360
OCT4_033	OCT4		1	27330	27690	1	360
OCT4_034	OCT4		1	27690	28050	1	360
OCT4_035	OCT4		1	28050	28410	1	360
OCT4_036	OCT4		1	28410	28770	1	360
OCT4_037	OCT4		1	28770	29130	1	360
OCT4_038	OCT4		1	29130	29490	1	360
OCT4_039	OCT4		1	29490	29850	1	360
OCT4_040	OCT4		1	29850	30210	1	360
OCT4_041	OCT4		1	30210	30570	1	360
OCT4_042	OCT4		1	30570	30930	1	360
OCT4_043	OCT4		1	30930	31290	1	360
OCT4_044	OCT4		1	31290	31650	1	360
OCT4_045	OCT4		1	31650	32010	1	360
OCT4_046	OCT4		1	32010	32370	1	360
OCT4_047	OCT4		1	32370	32730	1	360
OCT4_048	OCT4		1	32730	33090	1	360
OCT4_049	OCT4		1	33090	33450	1	360
OCT4_050	OCT4		1	33450	33810	1	360
OCT4_051	OCT4		1	33810	34170	1	360
OCT4_052	OCT4		1	34170	34530	1	360
OCT4_053	OCT4		1	34530	34890	1	360
OCT4_054	OCT4		1	34890	35250	1	360
OCT4_055	OCT4		1	35250	35610	1	360
OCT4_056	OCT4		1	35610	35970	1	360
OCT4_057	OCT4		1	35970	36330	1	360
OCT4_058	OCT4		1	36330	36690	1	360
OCT4_059	OCT4		1	36690	37050	1	360
OCT4_060	OCT4		1	37050	37410	1	360
OCT4_061	OCT4		1	37410	37770	1	360
OCT4_062	OCT4		1	37770	38130	1	360
OCT4_063	OCT4		1	38130	38490	1	360
OCT4_064	OCT4		1	38490	38850	1	360
OCT4_065	OCT4		1	38850	39210	1	360
OCT4_066	OCT4		1	39210	39570	1	360
OCT4_067	OCT4		1	39570	39930	1	360
OCT4_068	OCT4		1	39930	40290	1	360
OCT4_069	OCT4		1	40290	40650	1	360
OCT4_070	OCT4		1	40650	41010	1	360
OCT4_071	OCT4		1	41010	41370	1	360
OCT4_072	OCT4		1	41370	41730	1	360
OCT4_073	OCT4		1	41730	42090	1	360
OCT4_074	OCT4		1	42090	42450	1	360
OCT4_075	OCT4		1	42450	42810	1	360
OCT4_076	OCT4		1	42810	43170	1	360
OCT4_077	OCT4		1	43170	43530	1	360
OCT4_078	OCT4		1	43530	43890	1	360
OCT4_079	OCT4		1	43890	44250	1	360
OCT4_080	OCT4		1	44250	44610	1	360
OCT4_081	OCT4		1	44610	44970	1	360
OCT4_082	OCT4		1	44970	45330	1	360
OCT4_083	OCT4		1	45330	45690	1	360
OCT4_084	OCT4		1	45690	46050	1	360
OCT4_085	OCT4		1	46050	46410	1	360
OCT4_086	OCT4		1	46410	46770	1	360
OCT4_087	OCT4		1	46770	47130	1	360
OCT4_088	OCT4		1	47130	47490	1	360
OCT4_089	OCT4		1	47490	47850	1	360
OCT4_090	OCT4		1	47850	48210	1	360
DNA_001	DNA		1	48210	48610	1	400
