molecule_id	molecule_type	parent_med1	fragment	particle_start	particle_stop_exclusive	residue_start	residue_stop_inclusive
MED1_001_F1	MED1	1	1	0	1581	1	1581
MED1_002_F1	MED1	2	1	1581	3162	1	1581
MED1_003_F1	MED1	3	1	3162	4743	1	1581
MED1_004_F1	MED1	4	1	4743	6324	1	1581
MED1_005_F1	MED1	5	1	6324	7905	1	1581
MED1_006_F1	MED1	6	1	7905	9486	1	1581
MED1_007_F1	MED1	7	1	9486	11067	1	1581
MED1_008_F1	MED1	8	1	11067	12648	1	1581
MED1_009_F1	MED1	9	1	12648	14229	1	1581
MED1_010_F1	MED1	10	1	14229	15810	1	1581
MED1_011_F1	MED1	11	1	15810	17391	1	1581
MED1_012_F1	MED1	12	1	17391	18972	1	1581
MED1_013_F1	MED1	13	1	18972	20553	1	1581
MED1_014_F1	MED1	14	1	20553	22134	1	1581
MED1_015_F1	MED1	15	1	22134	23715	1	1581
MED1_016_F1	MED1	16	1	23715	25296	1	1581
MED1_017_F1	MED1	17	1	25296	26877	1	1581
MED1_018_F1	MED1	18	1	26877	28458	1	1581
MED1_019_F1	MED1	19	1	28458	30039	1	1581
MED1_020_F1	MED1	20	1	30039	31620	1	1581
MED1_021_F1	MED1	21	1	31620	33201	1	1581
MED1_022_F1	MED1	22	1	33201	34782	1	1581
MED1_023_F1	MED1	23	1	34782	36363	1	1581
MED1_024_F1	MED1	24	1	36363	37944	1	1581
MED1_025_F1	MED1	25	1	37944	39525	1	1581
MED1_026_F1	MED1	26	1	39525	41106	1	1581
MED1_027_F1	MED1	27	1	41106	42687	1	1581
MED1_028_F1	MED1	28	1	42687	44268	1	1581
MED1_029_F1	MED1	29	1	44268	45849	1	1581
MED1_030_F1	MED1	30	1	45849	47430	1	1581
MED1_031_F1	MED1	31	1	47430	49011	1	1581
MED1_032_F1	MED1	32	1	49011	50592	1	1581
MED1_033_F1	MED1	33	1	50592	52173	1	1581
MED1_034_F1	MED1	34	1	52173	53754	1	1581
MED1_035_F1	MED1	35	1	53754	55335	1	1581
MED1_036_F1	MED1	36	1	55335	56916	1	1581
MED1_037_F1	MED1	37	1	56916	58497	1	1581
MED1_038_F1	MED1	38	1	58497	60078	1	1581
MED1_039_F1	MED1	39	1	60078	61659	1	1581
MED1_040_F1	MED1	40	1	61659	63240	1	1581
MED1_041_F1	MED1	41	1	63240	64821	1	1581
MED1_042_F1	MED1	42	1	64821	66402	1	1581
MED1_043_F1	MED1	43	1	66402	67983	1	1581
MED1_044_F1	MED1	44	1	67983	69564	1	1581
MED1_045_F1	MED1	45	1	69564	71145	1	1581
MED1_046_F1	MED1	46	1	71145	72726	1	1581
MED1_047_F1	MED1	47	1	72726	74307	1	1581
MED1_048_F1	MED1	48	1	74307	75888	1	1581
MED1_049_F1	MED1	49	1	75888	77469	1	1581
MED1_050_F1	MED1	50	1	77469	79050	1	1581
