molecule_id	molecule_type	parent_med1	fragment	particle_start	particle_stop_exclusive	residue_start	residue_stop_inclusive
OCT4_001	OCT4		1	0	360	1	360
OCT4_002	OCT4		1	360	720	1	360
OCT4_003	OCT4		1	720	1080	1	360
OCT4_004	OCT4		1	1080	1440	1	360
OCT4_005	OCT4		1	1440	1800	1	360
OCT4_006	OCT4		1	1800	2160	1	360
OCT4_007	OCT4		1	2160	2520	1	360
OCT4_008	OCT4		1	2520	2880	1	360
OCT4_009	OCT4		1	2880	3240	1	360
OCT4_010	OCT4		1	3240	3600	1	360
OCT4_011	OCT4		1	3600	3960	1	360
OCT4_012	OCT4		1	3960	4320	1	360
OCT4_013	OCT4		1	4320	4680	1	360
OCT4_014	OCT4		1	4680	5040	1	360
OCT4_015	OCT4		1	5040	5400	1	360
OCT4_016	OCT4		1	5400	5760	1	360
OCT4_017	OCT4		1	5760	6120	1	360
OCT4_018	OCT4		1	6120	6480	1	360
OCT4_019	OCT4		1	6480	6840	1	360
OCT4_020	OCT4		1	6840	7200	1	360
OCT4_021	OCT4		1	7200	7560	1	360
OCT4_022	OCT4		1	7560	7920	1	360
OCT4_023	OCT4		1	7920	8280	1	360
OCT4_024	OCT4		1	8280	8640	1	360
OCT4_025	OCT4		1	8640	9000	1	360
OCT4_026	OCT4		1	9000	9360	1	360
OCT4_027	OCT4		1	9360	9720	1	360
OCT4_028	OCT4		1	9720	10080	1	360
OCT4_029	OCT4		1	10080	10440	1	360
OCT4_030	OCT4		1	10440	10800	1	360
OCT4_031	OCT4		1	10800	11160	1	360
OCT4_032	OCT4		1	11160	11520	1	360
OCT4_033	OCT4		1	11520	11880	1	360
OCT4_034	OCT4		1	11880	12240	1	360
OCT4_035	OCT4		1	12240	12600	1	360
OCT4_036	OCT4		1	12600	12960	1	360
OCT4_037	OCT4		1	12960	13320	1	360
OCT4_038	OCT4		1	13320	13680	1	360
OCT4_039	OCT4		1	13680	14040	1	360
OCT4_040	OCT4		1	14040	14400	1	360
OCT4_041	OCT4		1	14400	14760	1	360
OCT4_042	OCT4		1	14760	15120	1	360
OCT4_043	OCT4		1	15120	15480	1	360
OCT4_044	OCT4		1	15480	15840	1	360
OCT4_045	OCT4		1	15840	16200	1	360
OCT4_046	OCT4		1	16200	16560	1	360
OCT4_047	OCT4		1	16560	16920	1	360
OCT4_048	OCT4		1	16920	17280	1	360
OCT4_049	OCT4		1	17280	17640	1	360
OCT4_050	OCT4		1	17640	18000	1	360
OCT4_051	OCT4		1	18000	18360	1	360
OCT4_052	OCT4		1	18360	18720	1	360
OCT4_053	OCT4		1	18720	19080	1	360
OCT4_054	OCT4		1	19080	19440	1	360
OCT4_055	OCT4		1	19440	19800	1	360
OCT4_056	OCT4		1	19800	20160	1	360
OCT4_057	OCT4		1	20160	20520	1	360
OCT4_058	OCT4		1	20520	20880	1	360
OCT4_059	OCT4		1	20880	21240	1	360
OCT4_060	OCT4		1	21240	21600	1	360
OCT4_061	OCT4		1	21600	21960	1	360
OCT4_062	OCT4		1	21960	22320	1	360
OCT4_063	OCT4		1	22320	22680	1	360
OCT4_064	OCT4		1	22680	23040	1	360
OCT4_065	OCT4		1	23040	23400	1	360
OCT4_066	OCT4		1	23400	23760	1	360
OCT4_067	OCT4		1	23760	24120	1	360
OCT4_068	OCT4		1	24120	24480	1	360
OCT4_069	OCT4		1	24480	24840	1	360
OCT4_070	OCT4		1	24840	25200	1	360
OCT4_071	OCT4		1	25200	25560	1	360
OCT4_072	OCT4		1	25560	25920	1	360
OCT4_073	OCT4		1	25920	26280	1	360
OCT4_074	OCT4		1	26280	26640	1	360
OCT4_075	OCT4		1	26640	27000	1	360
OCT4_076	OCT4		1	27000	27360	1	360
OCT4_077	OCT4		1	27360	27720	1	360
OCT4_078	OCT4		1	27720	28080	1	360
OCT4_079	OCT4		1	28080	28440	1	360
OCT4_080	OCT4		1	28440	28800	1	360
OCT4_081	OCT4		1	28800	29160	1	360
OCT4_082	OCT4		1	29160	29520	1	360
OCT4_083	OCT4		1	29520	29880	1	360
OCT4_084	OCT4		1	29880	30240	1	360
OCT4_085	OCT4		1	30240	30600	1	360
OCT4_086	OCT4		1	30600	30960	1	360
OCT4_087	OCT4		1	30960	31320	1	360
OCT4_088	OCT4		1	31320	31680	1	360
OCT4_089	OCT4		1	31680	32040	1	360
OCT4_090	OCT4		1	32040	32400	1	360
OCT4_091	OCT4		1	32400	32760	1	360
OCT4_092	OCT4		1	32760	33120	1	360
OCT4_093	OCT4		1	33120	33480	1	360
OCT4_094	OCT4		1	33480	33840	1	360
OCT4_095	OCT4		1	33840	34200	1	360
OCT4_096	OCT4		1	34200	34560	1	360
OCT4_097	OCT4		1	34560	34920	1	360
OCT4_098	OCT4		1	34920	35280	1	360
OCT4_099	OCT4		1	35280	35640	1	360
OCT4_100	OCT4		1	35640	36000	1	360
