system,interaction,x_bin,y_bin,contact_probability_mean,contact_probability_sd,contact_probability_n
M0O100,OCT4-DNA,0,0,0.0,0.0,3
M0O100,OCT4-DNA,0,1,0.0,0.0,3
M0O100,OCT4-DNA,0,2,0.0,0.0,3
M0O100,OCT4-DNA,0,3,0.0,0.0,3
M0O100,OCT4-DNA,0,4,0.0,0.0,3
M0O100,OCT4-DNA,0,5,0.0,0.0,3
M0O100,OCT4-DNA,0,6,0.0,0.0,3
M0O100,OCT4-DNA,0,7,0.0,0.0,3
M0O100,OCT4-DNA,0,8,0.0,0.0,3
M0O100,OCT4-DNA,0,9,0.0,0.0,3
M0O100,OCT4-DNA,0,10,0.0,0.0,3
M0O100,OCT4-DNA,0,11,0.0,0.0,3
M0O100,OCT4-DNA,0,12,0.0,0.0,3
M0O100,OCT4-DNA,0,13,0.0,0.0,3
M0O100,OCT4-DNA,0,14,0.0,0.0,3
M0O100,OCT4-DNA,0,15,0.0,0.0,3
M0O100,OCT4-DNA,0,16,0.0,0.0,3
M0O100,OCT4-DNA,0,17,0.0,0.0,3
M0O100,OCT4-DNA,0,18,0.0,0.0,3
M0O100,OCT4-DNA,0,19,0.0,0.0,3
M0O100,OCT4-DNA,1,0,0.0,0.0,3
M0O100,OCT4-DNA,1,1,0.0,0.0,3
M0O100,OCT4-DNA,1,2,0.0,0.0,3
M0O100,OCT4-DNA,1,3,0.0,0.0,3
M0O100,OCT4-DNA,1,4,0.0,0.0,3
M0O100,OCT4-DNA,1,5,0.0,0.0,3
M0O100,OCT4-DNA,1,6,0.0,0.0,3
M0O100,OCT4-DNA,1,7,0.0,0.0,3
M0O100,OCT4-DNA,1,8,0.0,0.0,3
M0O100,OCT4-DNA,1,9,0.0,0.0,3
M0O100,OCT4-DNA,1,10,0.0,0.0,3
M0O100,OCT4-DNA,1,11,0.0,0.0,3
M0O100,OCT4-DNA,1,12,0.0,0.0,3
M0O100,OCT4-DNA,1,13,0.0,0.0,3
M0O100,OCT4-DNA,1,14,0.0,0.0,3
M0O100,OCT4-DNA,1,15,0.0,0.0,3
M0O100,OCT4-DNA,1,16,0.0,0.0,3
M0O100,OCT4-DNA,1,17,0.0,0.0,3
M0O100,OCT4-DNA,1,18,0.0,0.0,3
M0O100,OCT4-DNA,1,19,0.0,0.0,3
M0O100,OCT4-DNA,2,0,0.0,0.0,3
M0O100,OCT4-DNA,2,1,0.0,0.0,3
M0O100,OCT4-DNA,2,2,0.0,0.0,3
M0O100,OCT4-DNA,2,3,0.0,0.0,3
M0O100,OCT4-DNA,2,4,0.0,0.0,3
M0O100,OCT4-DNA,2,5,0.0,0.0,3
M0O100,OCT4-DNA,2,6,0.0,0.0,3
M0O100,OCT4-DNA,2,7,0.0,0.0,3
M0O100,OCT4-DNA,2,8,0.0,0.0,3
M0O100,OCT4-DNA,2,9,0.0,0.0,3
M0O100,OCT4-DNA,2,10,0.0,0.0,3
M0O100,OCT4-DNA,2,11,0.0,0.0,3
M0O100,OCT4-DNA,2,12,0.0,0.0,3
M0O100,OCT4-DNA,2,13,0.0,0.0,3
M0O100,OCT4-DNA,2,14,0.0,0.0,3
M0O100,OCT4-DNA,2,15,0.0,0.0,3
M0O100,OCT4-DNA,2,16,0.0,0.0,3
M0O100,OCT4-DNA,2,17,0.0,0.0,3
M0O100,OCT4-DNA,2,18,0.0,0.0,3
M0O100,OCT4-DNA,2,19,0.0,0.0,3
M0O100,OCT4-DNA,3,0,0.0,0.0,3
M0O100,OCT4-DNA,3,1,0.0,0.0,3
M0O100,OCT4-DNA,3,2,0.0,0.0,3
M0O100,OCT4-DNA,3,3,0.0,0.0,3
M0O100,OCT4-DNA,3,4,0.0,0.0,3
M0O100,OCT4-DNA,3,5,0.0,0.0,3
M0O100,OCT4-DNA,3,6,0.0,0.0,3
M0O100,OCT4-DNA,3,7,0.0,0.0,3
M0O100,OCT4-DNA,3,8,0.0,0.0,3
M0O100,OCT4-DNA,3,9,0.0,0.0,3
M0O100,OCT4-DNA,3,10,0.0,0.0,3
M0O100,OCT4-DNA,3,11,0.0,0.0,3
M0O100,OCT4-DNA,3,12,0.0,0.0,3
M0O100,OCT4-DNA,3,13,0.0,0.0,3
M0O100,OCT4-DNA,3,14,0.0,0.0,3
M0O100,OCT4-DNA,3,15,0.0,0.0,3
M0O100,OCT4-DNA,3,16,0.0,0.0,3
M0O100,OCT4-DNA,3,17,0.0,0.0,3
M0O100,OCT4-DNA,3,18,0.0,0.0,3
M0O100,OCT4-DNA,3,19,0.0,0.0,3
M0O100,OCT4-DNA,4,0,0.0,0.0,3
M0O100,OCT4-DNA,4,1,0.0,0.0,3
M0O100,OCT4-DNA,4,2,0.0,0.0,3
M0O100,OCT4-DNA,4,3,0.0,0.0,3
M0O100,OCT4-DNA,4,4,0.0,0.0,3
M0O100,OCT4-DNA,4,5,0.0,0.0,3
M0O100,OCT4-DNA,4,6,0.0,0.0,3
M0O100,OCT4-DNA,4,7,0.0,0.0,3
M0O100,OCT4-DNA,4,8,0.0,0.0,3
M0O100,OCT4-DNA,4,9,0.0,0.0,3
M0O100,OCT4-DNA,4,10,0.0,0.0,3
M0O100,OCT4-DNA,4,11,0.0,0.0,3
M0O100,OCT4-DNA,4,12,0.0,0.0,3
M0O100,OCT4-DNA,4,13,0.0,0.0,3
M0O100,OCT4-DNA,4,14,0.0,0.0,3
M0O100,OCT4-DNA,4,15,0.0,0.0,3
M0O100,OCT4-DNA,4,16,0.0,0.0,3
M0O100,OCT4-DNA,4,17,0.0,0.0,3
M0O100,OCT4-DNA,4,18,0.0,0.0,3
M0O100,OCT4-DNA,4,19,0.0,0.0,3
M0O100,OCT4-DNA,5,0,0.0,0.0,3
